Date 1,GOLL4.BS.Equity,GOAU4.BS.Equity,GFSA3.BS.Equity,OIBR4.BS.Equity,RUMO3.BS.Equity,ELET3.BS.Equity,POMO4.BS.Equity,ECOR3.BS.Equity,USIM5.BS.Equity,DTEX3.BS.Equity,ELET6.BS.Equity,MRVE3.BS.Equity,HGTX3.BS.Equity,BRAP4.BS.Equity,CSNA3.BS.Equity,CYRE3.BS.Equity,MRFG3.BS.Equity,CSAN3.BS.Equity,ENBR3.BS.Equity,SMLE3.BS.Equity,CESP6.BS.Equity,CPLE6.BS.Equity,BRPR3.BS.Equity,MULT3.BS.Equity,BRKM5.BS.Equity,ESTC3.BS.Equity,RENT3.BS.Equity,NATU3.BS.Equity,QUAL3.BS.Equity,GGBR4.BS.Equity,CPFE3.BS.Equity,SBSP3.BS.Equity,BRML3.BS.Equity,SANB11.BS.Equity,HYPE3.BS.Equity,CMIG4.BS.Equity,LAME4.BS.Equity,TBLE3.BS.Equity,TIMP3.BS.Equity,KLBN11.BS.Equity,SUZB5.BS.Equity,CTIP3.BS.Equity,PCAR4.BS.Equity,CRUZ3.BS.Equity,FIBR3.BS.Equity,BBDC3.BS.Equity,KROT3.BS.Equity,LREN3.BS.Equity,CCRO3.BS.Equity,VIVT4.BS.Equity,BBAS3.BS.Equity,EMBR3.BS.Equity,BVMF3.BS.Equity,VALE3.BS.Equity,BBSE3.BS.Equity,UGPA3.BS.Equity,JBSS3.BS.Equity,VALE5.BS.Equity,PETR3.BS.Equity,ITSA4.BS.Equity,CIEL3.BS.Equity,PETR4.BS.Equity,BRFS3.BS.Equity,BBDC4.BS.Equity,ABEV3.BS.Equity,ITUB4.BS.Equity
2012-03-23,13.31,23.79,4.8,93.076,0,17.43,4.62,15.8,13.1,9.008,23.79,13.8,47.02,34.11,18.14,17.3,10.67,30.248,13.749,0,35.525,44.08,16.647,42.49,14.62,6.55,29.749,40.71,15.49,18.57,26.959,22.43,22.75,15.378,12.95,18.188,10.882,32.84,11.207,0,8.17,30.976,83.972,27.017,14.55,21.265,3.156,64.6,14.8,54.25,26.73,14.17,11.84,41.55,0,40.1,7.73,40.51,24.42,7.868,17.072,23.7,35.9,24.811,15.444,27.273
2012-03-30,12.19,22.49,4.3,89.392,0,17.14,4.675,15.95,12.01,9.512,23.71,12.95,47.15,34.86,17.22,16.038,11.5,30.383,13.772,0,34.934,42.75,16.604,42.65,14.45,6.567,30.946,39.7,15.65,17.46,26.6,23.22,23.79,14.933,12.85,19.099,10.764,32.72,11.554,0,7.81,30.276,86.982,27.996,15,20.697,3.324,62.7,14.78,56.49,25.95,14.64,11.24,42.9,0,40,7.5,41.46,24.3,7.508,17.908,23.35,36,24.159,15.1,26.243
2012-04-06,11.3,22.62,4.13,87.47,0,16.48,4.97,16.61,12.05,9.785,22.45,13.67,48.25,34.48,16.88,17.181,12.08,30.839,13.933,0,35.43,43.94,16.789,42.55,14.49,6.833,31.517,40.24,16.1,17.33,27.298,23.75,24.29,14.098,12.78,20.036,11.008,32,11.802,0,7.52,29.177,86.822,27.736,15.17,19.795,3.213,64.19,15.65,56.4,24.13,15.45,11.2,42.06,0,40.5,7.69,41.12,23.06,7.141,18.837,22,35.01,23.258,14.921,24.793
2012-04-13,10.51,22.35,4.01,80.151,0,15.82,5,16.07,11.24,9.579,22.15,12.59,44.62,35.73,16.69,15.691,11.24,28.28,12.766,0,35.001,44.23,15.896,40.9,13.92,6.767,29.196,42,16.49,17.38,25.195,23.05,22.39,13.956,12.45,20.079,10.889,33.1,11.51,0,7.2,28.977,88.481,27.356,14.86,19.773,3.125,58.5,15.07,55.2,24.5,15.95,10.8,43.8,0,40,7.04,42.85,22.44,6.881,18.808,21.67,33.85,23.242,15.76,23.802
2012-04-20,10.27,23.15,3.87,88.751,0,15.85,5.065,16.26,11.65,9.587,22.15,12.3,46.15,36.1,16.86,16.585,11.01,28.96,12.775,0,35.382,45.34,16.08,43.1,14.75,7.707,31.011,44,17.15,17.9,24.72,23.767,23.46,14.142,12.37,20.912,10.713,32.91,11.09,0,7.57,29.957,89.861,29.296,15.7,19.348,3.24,60.39,15.05,54.21,24.1,16.16,11.11,43.08,0,42.85,7.66,41.93,22.38,7.007,17.26,21.46,34.95,23.03,16.55,24.215
2012-04-27,10.15,23.06,3.58,104.946,0,16.15,5.125,16.04,11.02,9.215,22.75,11.37,46.81,35.91,16.97,15.641,10.73,29.524,13.081,0,34.382,46.59,16.739,45,14.18,7.867,29.933,43.73,16.58,17.8,25.747,24.537,23.62,13.867,12.19,21.187,11.108,32.59,11.26,0,7.24,29.427,88.271,29.676,15.15,19.561,3.409,60.2,14.94,53.7,23.54,16.33,10.71,42.62,0,43.5,7.55,41.5,22.1,6.504,19.34,20.93,35.84,22.803,16.35,22.314
2012-05-04,10.54,21.26,3.83,89.941,0,16,5.125,16.62,10.25,8.686,22.29,12.3,47.41,34.72,15.44,15.671,9.9,29.801,13.2,0,34.077,45.35,16.895,46.61,13.36,8.003,29.482,42.57,17.8,16.44,25.563,24.667,23.9,13.716,11.99,19.434,11.264,34,10.5,0,7.26,30.276,88.497,28.566,15.45,18.742,3.563,61.6,15.9,54.8,22.66,15.83,10.65,41.53,0,41.5,7.3,40.44,21.4,6.401,19.653,20.48,34.04,22.614,15.758,21.638
2012-05-11,10.27,21.41,3.76,86.921,0,16.2,4.905,16.04,10.35,8.926,21.61,11.75,47.15,32.96,14.56,14.837,9.86,29.39,13.308,0,35.382,46.01,16.753,46.51,12.26,8.5,28.736,43,19.1,16.61,25.486,25.333,23,14.4,12.12,20.063,11.216,35.26,10.78,0,6.75,30.057,85.427,27.666,14.45,18.712,3.513,63.75,15.65,53.1,22.26,15.5,10.25,39.1,0,41.8,7.26,38,20.39,6.453,20.955,19.53,33.85,22.326,15.398,21.796
2012-05-18,9.73,19.45,3.01,77.131,0,15.61,4.365,15.6,9.39,8.314,20.8,9.86,42.8,30.79,13.13,14.082,9.65,26.831,12.45,0,32.096,43.96,16.009,43.5,10.91,7.733,27.769,41.22,17.3,15.57,24.575,23.15,21,13.876,11.48,18.892,9.808,34.6,10.1,0,6,28.915,80.687,27.476,13.25,17.477,3.313,58.6,15.42,51.5,20.15,14.81,9.1,36.68,0,39.59,5.87,35.7,19.78,5.998,19.083,19.07,32.2,20.492,15.344,20.428
2012-05-25,8.46,20.13,2.78,73.197,0,12.88,4.825,14.99,9.22,7.959,17.55,9.52,40.4,30.72,13.1,14.747,9.38,26.339,12.262,0,31.925,41.39,15.938,45.07,11.21,7.833,27.409,41.8,17.32,16.15,23.092,23.1,21.69,14.045,10.75,18.749,9.888,33.82,9.66,0,5.57,27.495,79.697,26.197,13.45,18.25,3.406,59.33,14.88,49.15,20.8,14.26,9.51,36.55,0,39.15,6.16,35.73,19.32,6.225,18.194,18.64,31.65,21.712,15.056,21.382
2012-06-01,8.11,19.71,2.4,73.197,0,13.01,4.52,16.06,8.36,8.058,18.28,8.31,39.5,31.17,12.81,14.509,8.72,26.294,12.608,0,32.411,40.89,15.938,46.89,11,8.333,28.552,43.25,17,15.73,23.499,23.697,21.35,14.222,10.4,19.045,9.32,34.3,9.99,0,5.05,28.845,76.498,27.047,12.89,18.712,3.67,57,15.75,48.5,19.95,13.99,9.43,37,0,41.25,5.51,36.12,19.7,6.203,18.837,18.8,30.25,22.318,14.682,21.473
2012-06-08,7.92,20.9,2.48,69.994,0,13.7,4.385,16.2,7.69,7.942,18.87,8.54,42.2,31.41,12.55,15.244,9.6,26.732,12.726,0,32.934,42.32,15.846,45.33,11.05,8,27.713,43.5,16.64,16.8,23.868,23.933,22.28,13.893,11.14,19.559,9.424,35.72,10.14,0,4.87,27.995,75.048,26.667,12.89,18.568,3.575,57.43,15.7,47.39,19.22,13.8,10.29,38.34,0,41.5,5.72,37.33,19.74,6.306,19.622,18.88,32.5,22.629,14.894,21.57
2012-06-15,9.67,22.38,3.03,74.844,0,14.39,4.65,15.95,7.45,8.314,19.8,9.1,40.8,32.49,12.55,15.651,9.65,27.734,12.825,0,33.392,43.93,16.257,47.35,12.11,8,28.441,44.9,17.7,17.9,24.904,24.6,23.3,14.142,12.03,20.194,9.888,36.7,10.8,0,4.38,25.695,75.478,25.677,13.5,19.583,3.575,60.29,16.1,48.15,19.19,13.67,10.74,39.52,0,43.32,5.98,38.4,19.14,6.6,19.028,18.55,32.9,23.795,15.078,22.69
2012-06-22,9.87,20.63,2.9,73.197,0,13.77,4.36,16.25,6.49,8.471,19.22,9.35,40.8,32.71,11.66,15.095,9.35,26.956,12.43,0,33.43,42.87,16.215,48.36,12.27,8,27.631,47.15,17.7,16.54,24.129,24.833,22.93,13.938,11.9,19.663,9.864,36.09,10.47,0,4.52,25.925,74.998,27.426,13.84,19.015,3.594,57.85,16,48.93,19.88,13.43,9.99,39.71,0,43.4,5.96,38.81,20.16,6.203,19.517,19.55,31.2,22.917,15.116,21.24
