Date 1,HEXW.IN.Equity,FAG.IN.Equity,FORH.IN.Equity,TPW.IN.Equity,TGBL.IN.Equity,TRCL.IN.Equity,NTCPH.IN.Equity,TI.IN.Equity,GFLC.IN.Equity,PEPL.IN.Equity,SI.IN.Equity,HWA.IN.Equity,WLSI.IN.Equity,IRB.IN.Equity,ADE.IN.Equity,RCAPT.IN.Equity,WHIRL.IN.Equity,AIAE.IN.Equity,INXW.IN.Equity,NACL.IN.Equity,VOLT.IN.Equity,GPPV.IN.Equity,APTY.IN.Equity,BIOS.IN.Equity,CIFC.IN.Equity,SPADV.IN.Equity,MPHL.IN.Equity,BOI.IN.Equity,RELI.IN.Equity,GRHF.IN.Equity,MACA.IN.Equity,IDBI.IN.Equity,SANL.IN.Equity,MRPL.IN.Equity,INFOE.IN.Equity,PI.IN.Equity,SJVN.IN.Equity,TTCH.IN.Equity,IPCA.IN.Equity,UNBK.IN.Equity,FB.IN.Equity,CRG.IN.Equity,RPWR.IN.Equity,TVSL.IN.Equity,BOOT.IN.Equity,SUEL.IN.Equity,PFIZ.IN.Equity,TCOM.IN.Equity,JUBI.IN.Equity,LTFH.IN.Equity,DITV.IN.Equity,SCUF.IN.Equity,CBOI.IN.Equity,JSW.IN.Equity,NBCC.IN.Equity,TMX.IN.Equity,MTCL.IN.Equity,X3M.IN.Equity,GDSP.IN.Equity,WIL.IN.Equity,NLC.IN.Equity,EXID.IN.Equity,ATD.IN.Equity,MAX.IN.Equity,PLNG.IN.Equity,CRISIL.IN.Equity,AJP.IN.Equity,CBK.IN.Equity,KNPL.IN.Equity,ALPM.IN.Equity,SUNTV.IN.Equity,BYRCS.IN.Equity,MMFS.IN.Equity,RJEX.IN.Equity,WPL.IN.Equity,BRGR.IN.Equity,RCOM.IN.Equity,VED.LN.Equity,HNDL.IN.Equity,GILL.IN.Equity,PAG.IN.Equity,TPWR.IN.Equity,PIEL.IN.Equity,HAVL.IN.Equity,SUF.IN.Equity,AMRJ.IN.Equity,MRF.IN.Equity,BDE.IN.Equity,BJHI.IN.Equity,NHPC.IN.Equity,APHS.IN.Equity,SAIL.IN.Equity,DLFU.IN.Equity,SHTF.IN.Equity,PG.IN.Equity,IDFC.IN.Equity,IDFC.F.IN.Equity,LICHF.IN.Equity,CSTRL.IN.Equity,TATA.IN.Equity,JSTL.IN.Equity,UBBL.IN.Equity,UPLL.IN.Equity,PNB.IN.Equity,AL.IN.Equity,ABB.IN.Equity,RECL.IN.Equity,ACC.IN.Equity,IHFL.IN.Equity,BHFC.IN.Equity,ABNL.IN.Equity,CLGT.IN.Equity,SKB.IN.Equity,MRCO.IN.Equity,BHE.IN.Equity,HPCL.IN.Equity,PNB.F.IN.Equity,BAF.IN.Equity,CAIR.IN.Equity,OINL.IN.Equity,TRP.IN.Equity,YES.IN.Equity,HMN.IN.Equity,VEDL.IN.Equity,BJFIN.IN.Equity,ESOIL.IN.Equity,CCRI.IN.Equity,PIDI.IN.Equity,GLXO.IN.Equity,TTAN.IN.Equity,TTAN.F.IN.Equity,KKC.IN.Equity,POWF.IN.Equity,DIVI.IN.Equity,GNP.IN.Equity,GRASIM.IN.Equity,ACEM.IN.Equity,GRASIM.F.IN.Equity,OFSS.IN.Equity,Z.IN.Equity,BRIT.IN.Equity,BOB.IN.Equity,GAIL.IN.Equity,MSS.IN.Equity,CDH.IN.Equity,SRCM.IN.Equity,NMDC.IN.Equity,ARBP.IN.Equity,SIEM.IN.Equity,HMCL.IN.Equity,GCPL.IN.Equity,UNSP.IN.Equity,IIB.F.IN.Equity,IIB.IN.Equity,DABUR.IN.Equity,EIM.IN.Equity,BHEL.IN.Equity,TECHM.IN.Equity,CIPLA.IN.Equity,HZ.IN.Equity,IDEA.IN.Equity,NEST.IN.Equity,BPCL.IN.Equity,BJAUT.IN.Equity,PWGR.IN.Equity,PWGR.F.IN.Equity,ADSEZ.IN.Equity,MM.IN.Equity,BOS.IN.Equity,DRRD.IN.Equity,APNT.IN.Equity,BHIN.IN.Equity,UTCEM.IN.Equity,LPC.IN.Equity,NTPC.IN.Equity,IOCL.IN.Equity,TTMT.IN.Equity,TTMT.A.IN.Equity,KMB.IN.Equity,KMB.F.IN.Equity,AXSB.IN.Equity,MSIL.IN.Equity,MSIL.F.IN.Equity,HCLT.IN.Equity,BHARTI.IN.Equity,WPRO.IN.Equity,LT.IN.Equity,ICICIBC.IN.Equity,SBIN.IN.Equity,HDFC.IN.Equity,HUVR.IN.Equity,ONGC.IN.Equity,SUNP.IN.Equity,COAL.IN.Equity,HDFCB.IN.Equity,INFO.IN.Equity,ITC.IN.Equity,RIL.IN.Equity,HDFCB.F.IN.Equity,TCS.IN.Equity
2012-08-12,116.15,1549.6,99.2,154.45,132.85,171.1,356.4,155.6,342.7,114.55,270.85,2468.3,56,119,35.52,336.17,241.95,315.15,0,53.3,105.02,49.8,85.85,240.78,217.25,76.53,393.15,271.9,504.7,80.18,55.6,84.15,2204.79,58.85,345,102.9,20.45,304.51,406.5,163.5,42.34,116.15,88.9,39.35,1534.8,17.25,1221,237.45,1205.9,44.75,71,706.4,69.85,51.7,99.25,500.8,313.35,3867.45,239.61,1510.3,83.05,130.1,193.35,180.9,151,877.77,100.43,349.5,87.33,58.7,310.8,919.8,156.87,125.75,1190.9,68.08,54.7,997,122.95,2382.65,3071.45,96.5,536.45,108.96,412.48,159.15,10653,2011.5,787.45,18.45,616.55,84.9,210.35,567.5,2275.35,132.1,0,247.28,289.21,400.1,730.8,518.8,119.95,144.26,22.9,771.25,210.25,1342.05,0,312,768.9,1178.35,2813.25,184.92,1261.2,321.8,150,1079.43,324.5,476.65,335.06,356.55,321.47,191.2,883.09,53.7,628.33,176.15,2109.05,217.7,228.6,474.7,182.85,1126.65,411.25,2994.8,194.25,3180,2853.65,167.5,452.25,125.43,367.4,50.89,876.15,3181.7,181.2,51.55,659.15,1912.4,619.95,825.05,330,322.5,120,2068.55,229.1,199.95,349.95,124.45,74,4399.1,352.55,1676.2,119.55,0,126.9,738.83,8835.65,1644.65,371.34,0,1675.65,580.75,170.3,250.35,229.49,126.13,290.25,280.2,214,1165.8,1134.25,266.33,255.6,311.89,949.3,190.95,188.78,690.15,490.42,278.95,337.73,348.6,602.15,578.26,267.75,782.1,599.75,1260.4
2012-08-19,119.55,1610.8,99.65,156.25,134.7,177.55,358.85,151.75,358.25,118.5,277.1,2438.9,55.8,122.35,36.66,348.38,263.4,331.3,0,53.1,112.56,50.7,91.3,246.53,218.4,75.35,382.1,276.75,510.5,87.7,54.65,86.7,2209.93,63.5,360.05,104.97,20.7,314.51,403.35,163.9,43.71,119.25,87.65,39.95,1573.15,16.8,1224.09,234.25,1167.4,44.45,72.95,709.8,69.4,49.5,94.8,499.25,321.8,3950.55,245.15,1568.9,84.5,129.4,184.8,184,150.75,899.27,103.49,358.1,91.32,62.85,301.75,924.8,155.96,124.45,1299.05,68,55.95,951.5,113.7,2365.2,3150.55,93.85,518.8,110.19,412.63,193.93,10829.75,2019.85,786.65,18.5,625.65,83.15,209,595.1,2279.7,140.7,0,249.87,290.73,394.8,720.65,577.35,115.05,145.47,22.5,764.65,211.65,1326.35,0,296.3,790.65,1178,2819.1,186.13,1259.65,311.25,148,1050.62,334.5,479.35,337.62,359.35,317.6,187.1,879.31,53.45,630.87,179.1,2089,220.6,0,473,187.45,1175.3,415.25,3021.95,188.95,3222.2,2906.75,169.35,469.95,127.34,360.75,52.7,875.75,3291.4,179.95,51.35,658.5,1935.2,638.05,921.7,341,333.25,119.25,2225.25,229.45,212.25,354.95,124.15,75.6,4460.65,340.6,1696.4,117.65,0,123.5,768.6,8700.25,1669,367.86,0,1732.35,570.5,166.43,252.05,237.65,139.69,294.88,0,222.04,1177.55,0,276.52,262.3,315.28,967.9,192.43,189.71,713.3,496.03,282.05,330.52,349.9,595.1,587.76,262.1,816.1,0,1258.97
2012-08-26,123.95,1586.1,93.7,156.85,128.85,189.15,346.85,158.05,350.4,113.05,274.4,2534.9,54.7,125.7,34.97,340.43,260.35,340.35,0,52.05,113.31,50.45,95.25,249.01,208.1,75.75,377,272.6,486.65,90.4,56.4,85.5,2133.97,61.45,345,102.05,19.7,312.72,408.35,158.65,42.59,120.7,86.2,40.4,1584.75,16.15,1214.23,231.6,1153.15,44.1,69.35,734.75,65.5,47.25,95.65,500,348.65,4015.9,244.05,1561,80.45,134.05,192.95,187.2,151.85,912.62,114.37,332.65,90.12,73.45,298.4,983,154.83,121.25,1267.3,67.53,54.15,924.5,111,2224.3,2994.25,94.86,504.4,108.54,430.88,191.73,10713.45,1984.25,800.9,18.2,637.75,83.95,207.7,613.95,2294,142.4,0,248.47,292.23,387.8,737.5,562.85,113.55,142.23,21.85,742.9,202.7,1338.35,0,284,789.5,1181.5,2854.3,188.88,1226.6,318.9,145.2,1050.48,342.8,479,344.59,344.5,329.47,191.9,810.48,52.35,633.73,189.7,2093.75,222.15,0,459.35,170.5,1179.55,410.3,3031.35,190.1,3201.05,2911.8,166.7,484.85,128.82,365.9,54.5,875.55,3394.25,184.65,55.95,669.65,1936,654.5,935.95,340,328.45,123.05,2183.2,231.05,217.84,366.65,129.9,75,4710.3,354.55,1711.4,117.1,0,112,761.21,8658.25,1677.1,367.66,0,1723.55,581.75,166.98,249.6,243.44,144.34,292.48,0,215.09,1190.3,0,276.55,247.95,325.63,947.2,190.87,189.38,722.5,510.37,286.85,332.8,367.05,596.3,611.2,265.15,782.1,0,1302.54
2012-09-02,123.05,1598.05,90.9,148.3,129.8,179.9,351.6,154.7,345.7,103.95,280.5,2476.4,51.85,125.25,31.18,316.2,253.65,335.15,0,49.8,110.07,50.25,93.8,260.41,206.05,74.1,384.6,255.3,444.1,89,53.05,83.95,2161.58,61.85,334.2,106.8,19.1,303.36,441.25,156.75,40.65,107.9,76.2,38.7,1608.75,15,1254.18,229.65,1165.15,42.35,64.4,753.65,65.65,45.85,91.1,486.05,328.54,4047.5,239.11,1579.65,78.45,133.9,184.6,180.1,152.2,913.67,110.77,318.1,89.5,68.8,290.6,1000.8,147.4,119.55,1229.65,69.15,48.2,867.5,103.85,2225.05,3007.1,96.02,480.1,108.77,414.43,187.5,10048.65,1979.25,765.75,17.9,628.5,78.2,195.05,635.15,2449.9,134.05,0,239.69,292.53,361.4,693.7,624.35,119.6,135.31,20.6,713.95,188.7,1308.5,0,278.95,744.6,1207.25,2956.45,193.63,1241,297.85,136.4,1019.24,340.05,493,348.14,328.75,325.8,171.45,782.24,47.05,624.3,189.9,2099.95,220.35,0,460,160.3,1139.95,440.95,2989.8,185.3,3149,2975,163.45,501,126.37,355.05,54.07,907,3385,190.1,55.15,678.05,1763,692.3,969.15,319.45,316.55,122.55,2144.8,213.25,199.65,376.45,123.35,74.65,4635.3,334.85,1617.2,119.45,0,113.75,762.4,8510.45,1677.6,364.07,0,1693.9,593.1,166.43,242.55,231.81,135.19,287.05,0,198.36,1143.3,0,270.1,247.8,323.4,895.27,180.43,183.73,735.3,507.56,275.9,334.2,351.45,595.35,590.41,267.65,766.4,0,1323.12
2012-09-09,133.95,1569.25,95.6,172.85,136.65,184.65,349,160.8,357.1,116.8,284.15,2442.4,52.05,128.7,31.08,333.36,264.7,339.85,0,52.4,111.57,48.85,94.25,272.26,214.25,72.2,400.7,261,454.4,89.33,55.5,88.35,2154.71,62.55,333.55,107.87,19.2,316.1,441.2,159.2,40.63,110.9,79.5,37.75,1593.4,15.35,1260.81,230.55,1243.3,44.55,73.3,770.55,64.15,48.55,94.1,492.15,358.3,4074.75,259.09,1599.1,79.9,144.1,182,183.45,158.05,923.65,110.16,322.55,89.77,75.05,313.2,985.7,159.57,120.9,1353.75,70.15,50.6,975.5,106.85,2204.95,3037,93.12,482.2,115.03,412.85,194.07,10257.55,1702.5,758.25,17.8,645.75,78.35,204.2,631.15,2447.25,127.55,0,246.08,273.61,373.85,679.1,614.25,121.05,137.19,21.25,731.25,187.1,1342.2,0,294.45,771.3,1229.05,2963.15,200.12,1226.95,304.55,135.97,1032.11,337.4,494.95,345.45,337.55,338.7,170,787.4,48.8,617.87,200.9,2115.25,229.45,0,465.8,160.45,1164.3,427.45,2971.15,190.25,3051,2961.5,172.25,497.95,126.62,363.05,59.3,905,3380.95,187.8,64,677.2,1805.75,665.55,950.85,315.9,316.9,129.25,2079.95,202.5,213.28,391.25,130.95,78.6,4654.15,344.25,1682.7,121.7,0,112.7,764.5,8449.75,1725.65,375.8,0,1741,617.55,170,248.95,243.09,144.34,288,0,195.76,1209.2,0,284.91,254.7,339.59,915.53,188.2,189.85,731,533.03,276.35,333.52,360.55,591.05,624,263.35,796,0,1365.22
2012-09-16,136.7,1540.1,96.6,159.6,133.65,182.9,378.05,156.25,375.15,117.65,286,2504.85,50,126.4,37.82,348.48,250.7,356.3,0,53.85,116.11,50.7,100,266.7,221.1,77.1,387.15,270.1,471.05,95.7,54.75,90.25,2318.38,61.45,350.15,104.56,18.95,318.34,443.8,164.6,41.09,107.5,81.9,39.95,1610.05,16.1,1248.58,237,1235.35,46.25,76.85,778.8,63.75,50.2,96.45,502.6,360.82,4051,273.03,1579.9,81,144.6,183.15,191.3,165.85,920.92,115.44,340.95,87.02,73.1,307.9,994.45,158.65,120.3,1335.7,70.7,51.15,1090,118.35,2155.05,3384.95,94.19,467.7,116.95,410.1,191.93,10230.9,1703.25,763.5,17.6,679.05,84.55,216.6,629.9,2398.9,138.95,0,255.01,298.42,405,712.35,607.3,124.2,141.81,21.9,747.55,196.2,1385.75,0,288.5,782.5,1243.8,3070.1,191.5,1180.6,300.25,140.8,1061.5,354.45,487.35,343.85,355.9,340.7,169.2,764.7,51.95,642.2,205.8,2091.4,240.55,0,453.35,166.5,1109.4,415.2,3111,197.35,3285,2973.95,170.1,488.8,136.16,374.55,59.53,897.2,3403.75,192,62.9,672.55,1862.55,658.85,927.65,319,318.75,127.25,2269.6,204.8,227.66,369.3,136.65,84,4489.4,350.2,1744.5,120,0,111.6,776.44,8449.45,1747.5,390.14,0,1754.45,575.55,166.68,248.8,267.43,156.86,304.68,0,201.98,1261.1,0,289.18,255.1,349.22,993.33,201.6,197.15,770.45,540.03,282,339.07,383.2,612.75,658.03,268.25,841.75,0,1391.41
2012-09-23,124.6,1606.85,101.6,155.3,131.05,182.5,376.85,162.2,379.65,126,280,2616.3,54,151,40.64,395.4,255.1,360,0,52.25,125.15,50.8,97.2,273.45,215.35,80.35,389.3,302.45,544.05,93.7,56.35,98.6,2292.81,59.95,349.25,108.44,19.55,322.02,426.45,200.5,44.64,117.25,95.3,42.7,1600.85,17.3,1204.46,247.35,1300.45,46.9,79.4,780.3,76.05,54.1,100,555.4,343.69,4105.35,277.38,1557.25,79.9,148.85,197.85,200.35,165.1,911.13,113.75,429.75,91.77,71.25,325.15,1012.8,167.31,116.85,1239.5,72.38,62.1,1086,118.2,2113.95,3281,99.06,471.95,121.1,405.75,199.98,10162.5,1692.25,787.5,18.5,687.45,92.65,235.25,622.5,2358.75,154.2,0,267.24,294.88,409.35,730.8,645.65,130.95,167.45,24,769.45,219.25,1379.5,0,303.05,854.85,1192.1,2923.75,188.16,1224.4,299,163,1059.85,349.65,478.1,333.4,370.9,335.77,181.15,779.5,51.6,632.97,204.05,1972.95,241.35,0,482.4,194.4,1075.4,418.95,3235.75,194.9,3390,2959.1,177.8,480.15,156.06,385.35,65.19,861.05,3634.25,196.05,64.9,692.05,1922.5,659.95,993.7,340.75,337.85,125.5,2208.85,232.4,228.34,361.3,132.05,87.95,4354.1,347.3,1800.6,120.25,0,115.7,808.11,8552.75,1643.7,394.66,0,1837.6,583.25,167.13,252.7,272.53,154.68,311.23,0,224.93,1311.75,0,282.73,279.25,337.14,1056.83,213.1,221.32,780.2,521.95,294.5,334.75,372.6,625.15,648.33,261.6,850.3,0,1284.03
2012-09-30,121.8,1774.25,102.9,175.85,142.85,192.65,366.7,173.05,385.05,135.75,282.95,2854.15,51.85,152.05,40.26,426.59,260.2,356.9,0,50.85,124.8,52.25,92.65,272.45,218,80.05,402.4,311.2,537.6,103.6,58.8,100.05,2370.16,61,349,108.37,20,319.23,484.25,207.85,44.7,126.1,98.2,42.3,1600.55,17.75,1228.86,243.3,1372.7,48.3,82.55,765.45,78.2,60.75,103.75,561.45,329.88,4047.35,286.87,1616.7,87.35,153.3,213.6,224.3,157.95,953.94,111.93,431.45,93.44,71.55,349.05,1067.4,179.34,120.5,1294.9,73.58,64.8,1029,120.7,2129.25,3179.65,103.21,464.2,124.9,410.85,219.15,10272.75,1720.3,794.55,19.3,731.25,85.45,233.25,619.85,2469.5,154.45,0,281.32,305.84,400.9,756.95,653.55,131.65,168.06,24.1,800.65,218.25,1470.05,0,305.55,897.95,1207,3001.6,193.73,1208.55,307.9,172,1146.23,331.05,491.9,342.96,382.05,332.27,171.2,873.6,50.65,637.17,206.15,1981.05,261.15,0,505.25,188.95,1082.6,420.95,3314.25,202,3530,3009.05,195.35,475.75,159.56,382.75,66.25,873.6,3890.65,193.9,71,709.05,1880.3,668.95,1216.1,362,355.3,128,2311.2,246.95,243.01,380.1,136,85.3,4401.95,348.7,1830.1,120.5,0,127.5,863.86,8730.6,1645.65,393.48,0,1967.85,595.95,166.48,250.5,264.71,159.43,324.38,0,227.2,1350.6,0,286.5,265.45,339.86,1064.53,211.76,224.06,774.4,537.86,280.85,347.77,358.95,629.15,633.74,272.4,837.2,0,1276.01
2012-10-07,116.4,1686.05,103.95,172.9,150.2,193.6,378.95,171.25,382.15,142.1,275.15,2855.2,53.95,156.85,47.14,456.1,259.7,378.05,0,51.05,120.75,52,89.7,271.07,231.9,84.8,401.7,296.9,542,106.33,60.25,101.95,2259.62,68.4,369.95,108.99,19.45,318.84,443.25,200.35,45.78,139.35,103.1,45.3,1581.15,17.55,1191.61,248.55,1313.5,50.65,81.05,785.25,77.15,61.7,122.25,579.9,323.6,4050.7,288.12,1629.25,85.15,151.85,207.65,228.2,159.5,922.16,104.8,425.25,95.49,70.3,354.5,1061.05,177.88,121.3,1278,70.25,61.8,1101,125,2208.55,3379.85,100.36,471.15,128.75,421.18,224.3,10327.5,1751.65,832.95,20.15,777.65,86.2,241.9,646.5,2444.75,159.1,0,269.99,321.51,410.55,738.25,676.8,132.85,163.82,24.7,790.75,227.85,1457.65,0,309.65,937.25,1241.45,2984.55,196.48,1223.95,316.1,168,1162.26,326.05,490.1,341.45,393.5,338.33,172.15,918.4,60.65,655.53,207.7,1943.05,268.8,261.65,509.8,195.9,1095.55,399.95,3362.15,216.3,3540,3027.3,200.45,486.25,158.88,393.05,71.53,819.4,3873.95,189.8,69.3,744.35,1810.45,695.2,1261.1,369,369.25,132.9,2302.7,263.9,236.7,364.25,136.15,81.8,4599.5,356.5,1751.05,118.2,0,128.15,868.15,8734.75,1697.3,381.13,0,1971.1,568.15,169.41,259.15,277.57,169.03,319.35,322.57,228.59,1387.7,1357.05,284.56,265.75,332.9,1099.93,213.34,233.94,749.95,557.12,287.2,341.27,363.45,622.4,631.71,275.65,857.8,623.2,1283.98
2012-10-14,113.05,1773.65,105.55,166.9,161.25,185.65,385,172.35,359.3,146.8,280.1,2687.15,53.05,154.15,44.56,452.05,246.45,375.35,0,49.9,123.95,50.5,87.4,268.44,228.3,106.5,405.15,301.95,514.45,94.08,58.95,99.35,2229.41,65.45,368.45,106.25,19.75,323.76,455.05,203.1,48.19,138.1,103.6,41.65,1518.85,15.9,1174.77,246.1,1364.8,51.8,77.3,811.7,75.95,63.1,139.65,563.75,333.27,3902.25,280.63,1616.15,84.6,150.15,205.5,237.15,163.05,936.66,103.83,427.95,94.15,69.65,351.8,1059.95,176.53,122.7,1418.2,70.3,62.6,1085,118.05,2241.9,3461.75,98.91,467.15,131.14,407.3,217.25,10225.6,1754,869.95,21.2,755.7,85.9,218.75,643.8,2497.85,151.05,0,255.96,321.37,420.95,767.15,677.3,123.75,164.06,23.85,786.4,227.4,1498.05,0,296.2,948,1223.1,3011.75,196.39,1243.85,308.2,168.1,1170.61,327.15,490.4,330.14,394.65,339.57,173.75,859.4,59.3,711.07,201,1969.7,274.3,0,487.2,208.05,1142.1,421.45,3388.1,214.85,3530,2986.5,192.8,493.55,155.45,379.95,66.56,842,4003.75,188.65,79.95,686.75,1778.85,677.8,1235.6,378.45,365.7,135.3,2225.1,245.4,240.46,364.1,136.65,80.1,4680.25,351.15,1744.3,119.95,0,125.4,853.37,8773.45,1683.95,389.9,0,2044.7,566.3,167.28,257.3,268.37,169.43,313.48,0,223.94,1372.05,0,288.58,260.35,313.99,1100,208.95,225.18,740.25,566.63,277.15,356.63,359.3,631.15,598.84,283.5,818.9,0,1278.52
2012-10-21,109.95,1821.95,104.05,161.05,157.95,188.05,380.6,171.6,359.25,148.3,295.05,2665.15,53.15,146.05,43.26,440.9,247.8,364.4,0,49.5,118.11,50.6,84.5,265.32,228.9,101.6,400.35,301.7,508.05,93.63,59,99.4,2232.95,65.7,365,108.05,19.7,325.25,459.05,209.45,48.29,129.9,101.15,42.7,1486.4,15.65,1178.4,249.7,1307.15,54.15,75.7,800.15,75.5,61.8,134.95,577.25,325.87,3903.2,306.25,1635.65,84.4,148.2,204.9,237.6,169.35,964.27,99.97,447.05,95.96,69.9,362.6,1078.7,176.67,134.45,1431.3,71,60,1135,114.9,2239.35,3361.4,101.33,475.6,130.08,409.5,239.05,10161.1,1758.45,856.4,22.1,754.05,82.2,206.1,635.1,2506.55,152.1,0,247.23,323.58,407.45,735.5,667.95,118.65,164.56,23.4,779.6,217.1,1407.85,0,305,928.2,1249.1,3070.45,198.18,1297.95,300.15,168.4,1234.79,333.8,488.8,334.14,383.45,353.4,169.05,870.5,64.35,686.8,200.2,1996.45,278.8,0,502.8,199.15,1127.4,400.8,3412.25,206.7,3620,2940.35,192.1,485.5,159.37,360.55,66.67,850.9,4197.35,186,78.45,687.95,1849.95,688.75,1273.85,372,362.55,130.2,2302.45,242.3,231.99,359.1,134.25,81.9,4768.8,339.65,1772.1,119.4,0,124.35,822.95,8886.3,1704.45,388.17,0,2010.6,573.4,164.7,259.4,266.15,164.33,314.23,0,240.45,1369.25,0,300.34,267.1,307.3,1088.7,211.46,225.78,753.3,558.26,279.5,347.4,353.95,628.5,595.84,297.5,802.8,0,1269.9
2012-10-28,113.6,1789.65,102.35,159.25,151.4,190.9,376.05,176,356.05,155.85,298.7,2642.8,52.9,118.85,43.36,417.4,250.85,374.7,0,47.65,113.66,50.35,84.55,255.75,239,101.05,384.65,287.15,490.3,91.5,56.4,95.55,2227.87,65.5,369.85,106,19.55,322.77,450.25,206.35,48.91,126.15,95.55,41.25,1462.75,15.5,1151.66,245.45,1264.45,55,72.5,805.05,71.05,59.6,131.15,592.1,327.89,3840.2,302.56,1616.7,83.5,138.6,204.7,246.35,166.3,930.6,109.67,423.7,95.31,69.2,319.05,1120.6,177.82,127.2,1440.7,69.88,56.7,1127,112.85,2218.5,3319.75,101.09,495.8,124.24,445.07,229.35,10043,1751.15,855.4,21.5,787.05,80.45,202.75,603.6,2520.95,157.85,0,251.22,303.63,399.8,733.15,734.85,120.1,149.89,23.2,747.65,209.7,1404.3,0,287.8,913.95,1230.85,3094.4,199.53,1285.45,302.85,157.89,1266.46,334.85,489.25,338.12,413,397.2,169.85,858.85,62.25,686.2,193.9,1999.85,264.65,0,487.4,182.5,1161.7,397.4,3410.7,208.2,3571.5,2969,184.2,486.75,152.69,364.25,69.69,866.5,4177.1,183,80.05,680.7,1869.7,705.35,1203.1,382,362.6,129.85,2365.7,242.45,227.43,354.95,131.9,81.3,4651.9,348,1788.05,113.85,0,127,880.04,8893,1670.25,392.34,0,2044.15,566.1,167.47,260.7,258.72,160.62,307.48,0,246.33,1365.7,0,302.25,266.65,299.72,1139.53,215.67,217.34,758.3,544.12,274.6,342.4,355.05,637.15,582.4,285.85,798.95,0,1295.11
2012-11-04,113.4,1722.3,103.6,162.1,158.3,206.05,371.45,174.85,333,157.35,287,2674.6,52.5,120.2,45.05,392.2,255.8,384.1,0,46.85,115.76,48.55,86.35,273.74,226.05,97.45,389.05,283.2,486.75,95.48,52.95,96.05,2243.17,64.95,358.1,100.01,19.95,315.15,466.25,223.1,47.5,122.8,97.35,38.8,1453.65,15.65,1132.42,250.95,1344.4,54,74.85,821.3,71.3,63.2,142.3,580.3,327.11,3892,316.85,1606.85,83.3,142.8,202.85,239.4,172.05,925.73,103.83,427.9,94.77,68.05,343.1,1143.65,177.78,123.6,1521.2,70.28,55.45,1160,117.7,2212.3,3322.35,102.77,493.9,116.7,463.98,226.4,10249.55,1713.65,861.2,22,766.35,83.05,205.4,629.35,2454.15,168.3,0,249.97,299.75,402.35,754.55,773.6,117.75,151.11,24.15,717.25,220.35,1408.4,0,270,918.35,1271.3,3091.6,197.84,1225.3,300.65,157.55,1252.03,334.8,478.1,333.35,420.05,384.3,175.8,856.95,65.35,678.2,191.35,1998.2,289.35,0,480.05,189,1193.1,429.05,3361.8,207.4,3460,2897.95,190.8,474.9,148.63,358.8,70.8,868.7,4259.85,179.85,85.15,703.4,1945.8,724.7,1183.85,363.55,365.85,124.95,2391.35,229.45,237.9,377,136.95,86.5,4780.45,336.05,1897.75,118,0,127.95,916.55,8900.65,1774.65,390.33,0,2019.85,579.65,166.53,262.5,267.18,163.29,306.15,0,243.1,1465.9,0,304.73,274.95,325.18,1116.93,215.93,215.24,766.25,533,265.75,348.48,350.6,630.3,597.03,283.2,807.95,0,1310.77
2012-11-11,113,1723.55,103.65,165.05,168.9,211.85,392.5,165.3,328.05,162.15,285,2703.7,57.75,121.2,45.07,390.05,261.15,375,0,45.6,112.66,47.1,80.1,292.68,227.9,94,397.35,283.4,471.05,101.48,53.3,104.85,2192.43,64.35,342.15,100,19.7,317.24,427.25,228.85,47.22,113.25,95.25,38.25,1466.9,15.5,1111.61,239.6,1342.45,64.1,75.4,821.85,74.6,61.1,142.95,595.85,338.31,3796.5,308.25,1574.05,84.55,138.15,202.3,244.45,166,924.94,96.83,435.6,95.75,68.5,328.25,1160.05,192.13,122.1,1627.8,70.73,57.4,1087,113.3,2222.45,3327.1,97.56,468.95,119.09,479.45,257.35,10103,1683.3,868.05,21.95,804.5,81.2,211.15,620.6,2451.3,158.7,0,251.97,304.27,390.55,748.15,791.7,113.35,153.86,25.7,729.1,218.6,1453.25,0,261.55,947.25,1327.55,3051.5,205.15,1172.95,301.5,161.2,1272.63,330.45,469.85,328.79,425.15,398.73,173.2,838.25,64.5,668.73,207,2005.5,289.4,288.45,482.5,186.8,1165.9,425.35,3361.8,213.9,3521,2843,190.95,465.8,151.37,355,72.02,843.65,4403.85,178.6,85.13,686.65,1908.2,692.55,1360.5,375,368,128,2503.25,232.25,234.76,393.4,137.25,93.2,4863.55,338.4,1852.05,119.55,0,127.9,908.51,8858.1,1768.85,411.43,0,2022.9,584.7,165.1,262.1,277.62,167.7,310.65,306.32,243.02,1463.4,1466.65,304.98,275.8,330.71,1080.73,211.84,215.51,793.95,529.15,257.15,347.1,346.6,639.35,587.17,288.15,787.65,631.3,1304.61
