"GOLL4 BS Equity";"";"";"GOAU4 BS Equity";"";"";"GFSA3 BS Equity";"";"";"OIBR4 BS Equity";"";"";"RUMO3 BS Equity";"";"";"ELET3 BS Equity";"";"";"POMO4 BS Equity";"";"";"ECOR3 BS Equity";"";"";"USIM5 BS Equity";"";"";"DTEX3 BS Equity";"";"";"ELET6 BS Equity";"";"";"MRVE3 BS Equity";"";"";"HGTX3 BS Equity";"";"";"BRAP4 BS Equity";"";"";"CSNA3 BS Equity";"";"";"CYRE3 BS Equity";"";"";"MRFG3 BS Equity";"";"";"CSAN3 BS Equity";"";"";"ENBR3 BS Equity";"";"";"SMLE3 BS Equity";"";"";"CESP6 BS Equity";"";"";"CPLE6 BS Equity";"";"";"BRPR3 BS Equity";"";"";"MULT3 BS Equity";"";"";"BRKM5 BS Equity";"";"";"ESTC3 BS Equity";"";"";"RENT3 BS Equity";"";"";"NATU3 BS Equity";"";"";"QUAL3 BS Equity";"";"";"GGBR4 BS Equity";"";"";"CPFE3 BS Equity";"";"";"SBSP3 BS Equity";"";"";"BRML3 BS Equity";"";"";"SANB11 BS Equity";"";"";"HYPE3 BS Equity";"";"";"CMIG4 BS Equity";"";"";"LAME4 BS Equity";"";"";"TBLE3 BS Equity";"";"";"TIMP3 BS Equity";"";"";"KLBN11 BS Equity";"";"";"SUZB5 BS Equity";"";"";"CTIP3 BS Equity";"";"";"PCAR4 BS Equity";"";"";"CRUZ3 BS Equity";"";"";"FIBR3 BS Equity";"";"";"BBDC3 BS Equity";"";"";"KROT3 BS Equity";"";"";"LREN3 BS Equity";"";"";"CCRO3 BS Equity";"";"";"VIVT4 BS Equity";"";"";"BBAS3 BS Equity";"";"";"EMBR3 BS Equity";"";"";"BVMF3 BS Equity";"";"";"VALE3 BS Equity";"";"";"BBSE3 BS Equity";"";"";"UGPA3 BS Equity";"";"";"JBSS3 BS Equity";"";"";"VALE5 BS Equity";"";"";"PETR3 BS Equity";"";"";"ITSA4 BS Equity";"";"";"CIEL3 BS Equity";"";"";"PETR4 BS Equity";"";"";"BRFS3 BS Equity";"";"";"BBDC4 BS Equity";"";"";"ABEV3 BS Equity";"";"";"ITUB4 BS Equity";"";""
"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";"";"Date";"PX_LAST";""
"2011-12-02";"14,08";"";"2011-12-02";"17,42";"";"2011-12-02";"5,49";"";"2011-12-02";"81,45";"";"2011-12-02";"0";"";"2011-12-02";"16,94";"";"2011-12-02";"3,935";"";"2011-12-02";"13,09";"";"2011-12-02";"10,62";"";"2011-12-02";"7,545";"";"2011-12-02";"24,38";"";"2011-12-02";"12,45";"";"2011-12-02";"36";"";"2011-12-02";"33,2";"";"2011-12-02";"14,82";"";"2011-12-02";"15,88";"";"2011-12-02";"7,97";"";"2011-12-02";"24,603";"";"2011-12-02";"12,562";"";"2011-12-02";"0";"";"2011-12-02";"29,801";"";"2011-12-02";"35,57";"";"2011-12-02";"12,97";"";"2011-12-02";"37,07";"";"2011-12-02";"13,71";"";"2011-12-02";"6,213";"";"2011-12-02";"24,72";"";"2011-12-02";"36,54";"";"2011-12-02";"15,25";"";"2011-12-02";"13,84";"";"2011-12-02";"21,949";"";"2011-12-02";"16,467";"";"2011-12-02";"18,95";"";"2011-12-02";"12,978";"";"2011-12-02";"8,39";"";"2011-12-02";"12,345";"";"2011-12-02";"9,556";"";"2011-12-02";"27,83";"";"2011-12-02";"8,539";"";"2011-12-02";"0";"";"2011-12-02";"7,14";"";"2011-12-02";"26,12";"";"2011-12-02";"66,696";"";"2011-12-02";"22,737";"";"2011-12-02";"13,45";"";"2011-12-02";"19,101";"";"2011-12-02";"2,45";"";"2011-12-02";"53,15";"";"2011-12-02";"11,43";"";"2011-12-02";"48,45";"";"2011-12-02";"24,88";"";"2011-12-02";"11,38";"";"2011-12-02";"10,55";"";"2011-12-02";"42,42";"";"2011-12-02";"0";"";"2011-12-02";"31,67";"";"2011-12-02";"5,9";"";"2011-12-02";"39,91";"";"2011-12-02";"24,63";"";"2011-12-02";"7,281";"";"2011-12-02";"13,597";"";"2011-12-02";"22,53";"";"2011-12-02";"36,35";"";"2011-12-02";"23,226";"";"2011-12-02";"12,352";"";"2011-12-02";"24,996";""
"2011-12-09";"15,7";"";"2011-12-09";"17,79";"";"2011-12-09";"5,31";"";"2011-12-09";"78,965";"";"2011-12-09";"0";"";"2011-12-09";"17,28";"";"2011-12-09";"3,74";"";"2011-12-09";"12,94";"";"2011-12-09";"10,49";"";"2011-12-09";"7,496";"";"2011-12-09";"25,34";"";"2011-12-09";"12,03";"";"2011-12-09";"36,91";"";"2011-12-09";"32,74";"";"2011-12-09";"15,04";"";"2011-12-09";"15,522";"";"2011-12-09";"8,79";"";"2011-12-09";"24,889";"";"2011-12-09";"12,529";"";"2011-12-09";"0";"";"2011-12-09";"29,925";"";"2011-12-09";"37,44";"";"2011-12-09";"13,282";"";"2011-12-09";"38,99";"";"2011-12-09";"13,88";"";"2011-12-09";"6,467";"";"2011-12-09";"25,282";"";"2011-12-09";"35,9";"";"2011-12-09";"14,95";"";"2011-12-09";"14,03";"";"2011-12-09";"23,044";"";"2011-12-09";"16,433";"";"2011-12-09";"18,7";"";"2011-12-09";"13,165";"";"2011-12-09";"8,8";"";"2011-12-09";"13,035";"";"2011-12-09";"9,374";"";"2011-12-09";"29,2";"";"2011-12-09";"8,717";"";"2011-12-09";"0";"";"2011-12-09";"7,19";"";"2011-12-09";"26,979";"";"2011-12-09";"67,176";"";"2011-12-09";"23,147";"";"2011-12-09";"13,5";"";"2011-12-09";"19,07";"";"2011-12-09";"2,396";"";"2011-12-09";"53,06";"";"2011-12-09";"11,7";"";"2011-12-09";"47,55";"";"2011-12-09";"24,2";"";"2011-12-09";"11,13";"";"2011-12-09";"10,1";"";"2011-12-09";"41,23";"";"2011-12-09";"0";"";"2011-12-09";"32";"";"2011-12-09";"5,58";"";"2011-12-09";"39,12";"";"2011-12-09";"24,75";"";"2011-12-09";"7,501";"";"2011-12-09";"13,672";"";"2011-12-09";"23,02";"";"2011-12-09";"37,38";"";"2011-12-09";"23,627";"";"2011-12-09";"12,83";"";"2011-12-09";"25,695";""
"2011-12-16";"13,91";"";"2011-12-16";"17,61";"";"2011-12-16";"5,09";"";"2011-12-16";"77,356";"";"2011-12-16";"0";"";"2011-12-16";"17,37";"";"2011-12-16";"3,485";"";"2011-12-16";"13,15";"";"2011-12-16";"10";"";"2011-12-16";"7,281";"";"2011-12-16";"26,01";"";"2011-12-16";"11,87";"";"2011-12-16";"37,53";"";"2011-12-16";"30,65";"";"2011-12-16";"13,89";"";"2011-12-16";"15,681";"";"2011-12-16";"8,4";"";"2011-12-16";"23,843";"";"2011-12-16";"12,989";"";"2011-12-16";"0";"";"2011-12-16";"31,182";"";"2011-12-16";"37,4";"";"2011-12-16";"12,715";"";"2011-12-16";"36,5";"";"2011-12-16";"13,4";"";"2011-12-16";"6,417";"";"2011-12-16";"24,683";"";"2011-12-16";"35,5";"";"2011-12-16";"14,7";"";"2011-12-16";"13,85";"";"2011-12-16";"24,129";"";"2011-12-16";"16,57";"";"2011-12-16";"18,5";"";"2011-12-16";"12,756";"";"2011-12-16";"8,94";"";"2011-12-16";"13,681";"";"2011-12-16";"9,387";"";"2011-12-16";"29,75";"";"2011-12-16";"9,035";"";"2011-12-16";"0";"";"2011-12-16";"6,68";"";"2011-12-16";"26,679";"";"2011-12-16";"64,996";"";"2011-12-16";"23,227";"";"2011-12-16";"12,97";"";"2011-12-16";"18,231";"";"2011-12-16";"2,35";"";"2011-12-16";"51";"";"2011-12-16";"11,77";"";"2011-12-16";"49,52";"";"2011-12-16";"22,7";"";"2011-12-16";"10,85";"";"2011-12-16";"9,9";"";"2011-12-16";"39,2";"";"2011-12-16";"0";"";"2011-12-16";"31,25";"";"2011-12-16";"5,8";"";"2011-12-16";"37,46";"";"2011-12-16";"22,8";"";"2011-12-16";"7,341";"";"2011-12-16";"13,576";"";"2011-12-16";"21,3";"";"2011-12-16";"35,7";"";"2011-12-16";"22,409";"";"2011-12-16";"13,184";"";"2011-12-16";"24,944";""
"2011-12-23";"12,8";"";"2011-12-23";"18,24";"";"2011-12-23";"4,25";"";"2011-12-23";"82,255";"";"2011-12-23";"0";"";"2011-12-23";"18,16";"";"2011-12-23";"3,345";"";"2011-12-23";"13,38";"";"2011-12-23";"10,48";"";"2011-12-23";"7,438";"";"2011-12-23";"26,93";"";"2011-12-23";"10,75";"";"2011-12-23";"33,6";"";"2011-12-23";"32,3";"";"2011-12-23";"14,99";"";"2011-12-23";"15,065";"";"2011-12-23";"8,75";"";"2011-12-23";"23,896";"";"2011-12-23";"13,545";"";"2011-12-23";"0";"";"2011-12-23";"32,525";"";"2011-12-23";"39,9";"";"2011-12-23";"12,751";"";"2011-12-23";"36,35";"";"2011-12-23";"13,68";"";"2011-12-23";"6";"";"2011-12-23";"23,937";"";"2011-12-23";"36,65";"";"2011-12-23";"16";"";"2011-12-23";"14,62";"";"2011-12-23";"25,447";"";"2011-12-23";"17,217";"";"2011-12-23";"18,06";"";"2011-12-23";"13,449";"";"2011-12-23";"8,64";"";"2011-12-23";"14,513";"";"2011-12-23";"9,293";"";"2011-12-23";"30,7";"";"2011-12-23";"9,302";"";"2011-12-23";"0";"";"2011-12-23";"6,89";"";"2011-12-23";"26,979";"";"2011-12-23";"66,246";"";"2011-12-23";"23,197";"";"2011-12-23";"14,45";"";"2011-12-23";"19,207";"";"2011-12-23";"2,275";"";"2011-12-23";"50,25";"";"2011-12-23";"12,05";"";"2011-12-23";"51,12";"";"2011-12-23";"23,93";"";"2011-12-23";"11,3";"";"2011-12-23";"10,11";"";"2011-12-23";"40,95";"";"2011-12-23";"0";"";"2011-12-23";"31,65";"";"2011-12-23";"6,64";"";"2011-12-23";"38,95";"";"2011-12-23";"23,9";"";"2011-12-23";"7,641";"";"2011-12-23";"13,744";"";"2011-12-23";"22,22";"";"2011-12-23";"36,6";"";"2011-12-23";"23,438";"";"2011-12-23";"13,31";"";"2011-12-23";"26,063";""
"2011-12-30";"12,44";"";"2011-12-30";"17,91";"";"2011-12-30";"4,12";"";"2011-12-30";"79,549";"";"2011-12-30";"0";"";"2011-12-30";"17,84";"";"2011-12-30";"3,545";"";"2011-12-30";"13,95";"";"2011-12-30";"10,15";"";"2011-12-30";"7,372";"";"2011-12-30";"26,85";"";"2011-12-30";"10,7";"";"2011-12-30";"32,46";"";"2011-12-30";"31,69";"";"2011-12-30";"14,98";"";"2011-12-30";"14,737";"";"2011-12-30";"8,54";"";"2011-12-30";"24,156";"";"2011-12-30";"13,647";"";"2011-12-30";"0";"";"2011-12-30";"31,477";"";"2011-12-30";"38,9";"";"2011-12-30";"13,105";"";"2011-12-30";"38,27";"";"2011-12-30";"12,8";"";"2011-12-30";"5,997";"";"2011-12-30";"23,578";"";"2011-12-30";"36,26";"";"2011-12-30";"16,75";"";"2011-12-30";"14,5";"";"2011-12-30";"25,215";"";"2011-12-30";"17,343";"";"2011-12-30";"18,12";"";"2011-12-30";"13,298";"";"2011-12-30";"8,5";"";"2011-12-30";"14,57";"";"2011-12-30";"8,949";"";"2011-12-30";"29,96";"";"2011-12-30";"9,164";"";"2011-12-30";"0";"";"2011-12-30";"6,74";"";"2011-12-30";"26,929";"";"2011-12-30";"66,986";"";"2011-12-30";"22,907";"";"2011-12-30";"13,87";"";"2011-12-30";"19,131";"";"2011-12-30";"2,299";"";"2011-12-30";"48,41";"";"2011-12-30";"12,22";"";"2011-12-30";"51,9";"";"2011-12-30";"23,7";"";"2011-12-30";"11,76";"";"2011-12-30";"9,8";"";"2011-12-30";"39,45";"";"2011-12-30";"0";"";"2011-12-30";"32,01";"";"2011-12-30";"6,08";"";"2011-12-30";"37,82";"";"2011-12-30";"23";"";"2011-12-30";"7,528";"";"2011-12-30";"13,947";"";"2011-12-30";"21,49";"";"2011-12-30";"36,42";"";"2011-12-30";"23,264";"";"2011-12-30";"13,452";"";"2011-12-30";"25,537";""
"2012-01-06";"12,12";"";"2012-01-06";"19,67";"";"2012-01-06";"4,39";"";"2012-01-06";"83,059";"";"2012-01-06";"0";"";"2012-01-06";"18,14";"";"2012-01-06";"3,7";"";"2012-01-06";"12,78";"";"2012-01-06";"10,4";"";"2012-01-06";"7,438";"";"2012-01-06";"26,97";"";"2012-01-06";"11,63";"";"2012-01-06";"35,75";"";"2012-01-06";"32,59";"";"2012-01-06";"15,83";"";"2012-01-06";"15,373";"";"2012-01-06";"8,94";"";"2012-01-06";"24,245";"";"2012-01-06";"13,565";"";"2012-01-06";"0";"";"2012-01-06";"30,572";"";"2012-01-06";"38,2";"";"2012-01-06";"12,751";"";"2012-01-06";"36,3";"";"2012-01-06";"12,92";"";"2012-01-06";"5,9";"";"2012-01-06";"23,946";"";"2012-01-06";"36,9";"";"2012-01-06";"17,25";"";"2012-01-06";"15,8";"";"2012-01-06";"25,166";"";"2012-01-06";"17,833";"";"2012-01-06";"18,11";"";"2012-01-06";"13,422";"";"2012-01-06";"10,25";"";"2012-01-06";"14,448";"";"2012-01-06";"9,293";"";"2012-01-06";"30,69";"";"2012-01-06";"9,471";"";"2012-01-06";"0";"";"2012-01-06";"6,72";"";"2012-01-06";"25,93";"";"2012-01-06";"66,626";"";"2012-01-06";"22,697";"";"2012-01-06";"14,33";"";"2012-01-06";"19,358";"";"2012-01-06";"2,234";"";"2012-01-06";"52,7";"";"2012-01-06";"11,84";"";"2012-01-06";"50,48";"";"2012-01-06";"23,21";"";"2012-01-06";"11,98";"";"2012-01-06";"10,14";"";"2012-01-06";"41,5";"";"2012-01-06";"0";"";"2012-01-06";"33,29";"";"2012-01-06";"6,07";"";"2012-01-06";"39,46";"";"2012-01-06";"24";"";"2012-01-06";"7,675";"";"2012-01-06";"13,802";"";"2012-01-06";"22,33";"";"2012-01-06";"36,59";"";"2012-01-06";"23,907";"";"2012-01-06";"12,79";"";"2012-01-06";"26,236";""
"2012-01-13";"12,05";"";"2012-01-13";"20,18";"";"2012-01-13";"4,2";"";"2012-01-13";"78,233";"";"2012-01-13";"0";"";"2012-01-13";"17,63";"";"2012-01-13";"3,665";"";"2012-01-13";"12,72";"";"2012-01-13";"10,96";"";"2012-01-13";"7,512";"";"2012-01-13";"26,15";"";"2012-01-13";"12,03";"";"2012-01-13";"37,56";"";"2012-01-13";"31,92";"";"2012-01-13";"16,37";"";"2012-01-13";"15,045";"";"2012-01-13";"8,38";"";"2012-01-13";"24,549";"";"2012-01-13";"13,318";"";"2012-01-13";"0";"";"2012-01-13";"30,372";"";"2012-01-13";"37,34";"";"2012-01-13";"12,375";"";"2012-01-13";"35,6";"";"2012-01-13";"12,89";"";"2012-01-13";"5,917";"";"2012-01-13";"23,569";"";"2012-01-13";"37,84";"";"2012-01-13";"16,25";"";"2012-01-13";"16,4";"";"2012-01-13";"24,614";"";"2012-01-13";"17,607";"";"2012-01-13";"18";"";"2012-01-13";"13,867";"";"2012-01-13";"9,89";"";"2012-01-13";"14,338";"";"2012-01-13";"9,387";"";"2012-01-13";"31,4";"";"2012-01-13";"9,392";"";"2012-01-13";"0";"";"2012-01-13";"6,87";"";"2012-01-13";"26,279";"";"2012-01-13";"69,365";"";"2012-01-13";"22,287";"";"2012-01-13";"14,7";"";"2012-01-13";"19,108";"";"2012-01-13";"2,213";"";"2012-01-13";"53,8";"";"2012-01-13";"11,53";"";"2012-01-13";"50";"";"2012-01-13";"24,7";"";"2012-01-13";"11,77";"";"2012-01-13";"10,11";"";"2012-01-13";"40,45";"";"2012-01-13";"0";"";"2012-01-13";"34,45";"";"2012-01-13";"5,42";"";"2012-01-13";"38,95";"";"2012-01-13";"25,37";"";"2012-01-13";"7,775";"";"2012-01-13";"14,146";"";"2012-01-13";"23,05";"";"2012-01-13";"35";"";"2012-01-13";"23,612";"";"2012-01-13";"12,792";"";"2012-01-13";"26,672";""
"2012-01-20";"12,36";"";"2012-01-20";"21,29";"";"2012-01-20";"4,31";"";"2012-01-20";"79,403";"";"2012-01-20";"0";"";"2012-01-20";"17,58";"";"2012-01-20";"3,845";"";"2012-01-20";"12,6";"";"2012-01-20";"11,48";"";"2012-01-20";"8,198";"";"2012-01-20";"25,55";"";"2012-01-20";"13,92";"";"2012-01-20";"40,2";"";"2012-01-20";"33,84";"";"2012-01-20";"17,9";"";"2012-01-20";"16,128";"";"2012-01-20";"8,3";"";"2012-01-20";"24,782";"";"2012-01-20";"13,098";"";"2012-01-20";"0";"";"2012-01-20";"31,077";"";"2012-01-20";"38,1";"";"2012-01-20";"13,105";"";"2012-01-20";"37,4";"";"2012-01-20";"14,31";"";"2012-01-20";"6,667";"";"2012-01-20";"25,835";"";"2012-01-20";"39,4";"";"2012-01-20";"17,27";"";"2012-01-20";"16,74";"";"2012-01-20";"24,662";"";"2012-01-20";"18,06";"";"2012-01-20";"19,17";"";"2012-01-20";"14,613";"";"2012-01-20";"11,5";"";"2012-01-20";"14,982";"";"2012-01-20";"10,013";"";"2012-01-20";"30,95";"";"2012-01-20";"9,669";"";"2012-01-20";"0";"";"2012-01-20";"7,43";"";"2012-01-20";"26,929";"";"2012-01-20";"71,635";"";"2012-01-20";"22,117";"";"2012-01-20";"15,3";"";"2012-01-20";"20,198";"";"2012-01-20";"2,388";"";"2012-01-20";"57,61";"";"2012-01-20";"11,61";"";"2012-01-20";"51,11";"";"2012-01-20";"26,1";"";"2012-01-20";"12,15";"";"2012-01-20";"10,4";"";"2012-01-20";"42,92";"";"2012-01-20";"0";"";"2012-01-20";"34,92";"";"2012-01-20";"6,02";"";"2012-01-20";"40,99";"";"2012-01-20";"26,35";"";"2012-01-20";"8,035";"";"2012-01-20";"14,954";"";"2012-01-20";"24,22";"";"2012-01-20";"35,3";"";"2012-01-20";"24,422";"";"2012-01-20";"12,982";"";"2012-01-20";"27,874";""
"2012-01-27";"12,26";"";"2012-01-27";"21,15";"";"2012-01-27";"4,49";"";"2012-01-27";"80,281";"";"2012-01-27";"0";"";"2012-01-27";"17,48";"";"2012-01-27";"3,92";"";"2012-01-27";"12,45";"";"2012-01-27";"11,71";"";"2012-01-27";"8,025";"";"2012-01-27";"24,81";"";"2012-01-27";"14,13";"";"2012-01-27";"41,7";"";"2012-01-27";"33,6";"";"2012-01-27";"18,3";"";"2012-01-27";"16,694";"";"2012-01-27";"8,19";"";"2012-01-27";"24,782";"";"2012-01-27";"13,292";"";"2012-01-27";"0";"";"2012-01-27";"31,525";"";"2012-01-27";"38,8";"";"2012-01-27";"13,353";"";"2012-01-27";"39,2";"";"2012-01-27";"15,9";"";"2012-01-27";"6,75";"";"2012-01-27";"26,065";"";"2012-01-27";"38,29";"";"2012-01-27";"17,3";"";"2012-01-27";"16,86";"";"2012-01-27";"24,614";"";"2012-01-27";"18,7";"";"2012-01-27";"19,46";"";"2012-01-27";"14,951";"";"2012-01-27";"10,5";"";"2012-01-27";"14,978";"";"2012-01-27";"10,275";"";"2012-01-27";"29,95";"";"2012-01-27";"9,56";"";"2012-01-27";"0";"";"2012-01-27";"7,47";"";"2012-01-27";"26,329";"";"2012-01-27";"72,485";"";"2012-01-27";"22,697";"";"2012-01-27";"14,8";"";"2012-01-27";"20,364";"";"2012-01-27";"2,5";"";"2012-01-27";"57,85";"";"2012-01-27";"11,88";"";"2012-01-27";"48,64";"";"2012-01-27";"27,05";"";"2012-01-27";"11,8";"";"2012-01-27";"10,89";"";"2012-01-27";"43,04";"";"2012-01-27";"0";"";"2012-01-27";"34,25";"";"2012-01-27";"5,99";"";"2012-01-27";"41,32";"";"2012-01-27";"26,86";"";"2012-01-27";"7,781";"";"2012-01-27";"14,786";"";"2012-01-27";"24,67";"";"2012-01-27";"34,67";"";"2012-01-27";"24,936";"";"2012-01-27";"12,732";"";"2012-01-27";"27,13";""
