"";"SIBN RX Equity";"NVTK RX Equity";"PHST RX Equity";"AFLT RX Equity";"PIKK RX Equity";"FEES RX Equity";"HYDR RX Equity";"NLMK RX Equity";"URKA RX Equity";"MTSS RX Equity";"CHMF RX Equity";"TATN RX Equity";"VTBR RX Equity";"MGNT RX Equity";"SNGS RX Equity";"SBER RX Equity";"GMKN RX Equity";"LKOH RX Equity";"ROSN RX Equity";"GAZP RX Equity";"AR1";"C";"O";"S";"P1";"P2";"mean";"sd";"zstat"
"2006-01-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-0,0045097487561598;0,153679828828759;-0,00286378776815263
"2006-02-28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-0,0045097487561598;0,153679828828759;-0,00286378776815263
"2006-03-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-0,0045097487561598;0,153679828828759;-0,00286378776815263
"2006-04-28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-0,0045097487561598;0,153679828828759;-0,00286378776815263
"2006-05-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-0,0045097487561598;0,153679828828759;-0,00286378776815263
"2006-06-30";-0,0115321595138665;-0,128549333988538;NA;-0,175418345872476;NA;NA;NA;NA;NA;0,00339370303854617;-0,0554608200972203;-0,114143444475426;NA;NA;-0,0133046115276235;-0,00167115189453569;NA;-0,00710792914099195;NA;0,00896548384852118;-0,0104777781948174;-0,416836395986646;-0,800663026024051;0,313027432743539;-0,0707991972938662;-0,0707991972938661;-0,0045097487561598;0,153679828828759;-0,00286378776815263
"2006-07-31";-0,0157569199178286;-0,0398625353197336;NA;-0,0194291398415357;NA;NA;NA;NA;NA;-0,0024950834217012;-0,0071670063631572;0,000383469374174605;NA;NA;-0,0486407714351417;-0,0271644898532604;NA;-0,0160797401365999;NA;-0,220180578987666;-0,0110748903007975;-0,42780289362285;-0,748499240539379;0,351712570537754;0,0310162236212254;0,0310162236212253;-0,0045097487561598;0,153679828828759;-0,00286378776815263
"2006-08-31";0,00122869389146984;NA;NA;-0,102775824768949;NA;NA;NA;NA;NA;-0,0427769501005089;-0,000200264375315324;-0,0777476087754582;NA;NA;-0,0230713050009173;0,0133455338599517;NA;-0,0134027096671812;NA;-0,035719416452553;-0,00756249063225194;-0,18961643164315;-0,636681794512128;0,351037247867366;-0,0429854829785225;-0,0960281150016124;-0,0045097487561598;0,153679828828759;-0,00286378776815263
"2006-09-29";-0,0252975812928949;0,00268699955145327;NA;-0,096360403425794;NA;NA;NA;0,00426219616840837;NA;-0,0778328230072944;-0,0593958843393915;-0,148385465889269;NA;NA;-0,00729501894629601;-0,0197912133205723;NA;-0,000872861242768688;NA;-0,0116474831305229;-0,00909215121225324;-0,672913568764061;-0,936884616884094;0,234904354435939;-0,029066693684094;-0,0290666936840941;-0,0045097487561598;0,153679828828759;-0,00286378776815263
"2006-10-31";-0,000525387013545811;0,0187214159806832;NA;0,00959959959874517;NA;NA;NA;0;NA;0,00709170991125111;-0,00456183308586122;-0,0277059063358274;NA;NA;-0,0135857826792314;0,0166548610987966;NA;-0,0180175634795706;NA;-0,00124042908658744;0,00256836689483808;0,0254523487581531;-0,0388966293012158;0,151295038844966;0,0869460607855967;0,0869460607855967;-0,0045097487561598;0,153679828828759;-0,00286378776815263
"2006-11-30";-8,2860343925928e-05;NA;NA;-0,0837647260242927;NA;NA;NA;-0,0288360405205367;NA;-0,0404805813818297;-0,0305692403737721;-0,152332459049555;NA;NA;0,000821218649048196;-0,0246387970223665;NA;0,000254691162164873;NA;-0,016245716724874;0,00242391093972799;-0,167789051559226;-0,519582992129108;0,335935534462231;-0,0158584061076508;-0,0158584061076507;-0,0045097487561598;0,153679828828759;-0,00286378776815263
"2006-12-29";-0,0213460566952389;0,0145889905141622;NA;-0,0584846180787516;NA;NA;NA;-0,0466394013785766;NA;0,0127615435419283;-0,00367097477612992;-0,0360943855231486;NA;-0,034728862476514;-0,0293128751387736;0,0849137931034483;NA;-0,0322448571452267;0,00479885303723782;0,000673210475096663;0,00326151098328872;0,058718572878561;-0,164508329754984;0,317949127586569;0,0947222249530236;0,0947222249530236;-0,0045097487561598;0,153679828828759;-0,00286378776815263
