"";"Koef";"SIBN RX Equity";"NVTK RX Equity";"PHST RX Equity";"AFLT RX Equity";"PIKK RX Equity";"FEES RX Equity";"HYDR RX Equity";"NLMK RX Equity";"URKA RX Equity";"MTSS RX Equity";"CHMF RX Equity";"TATN RX Equity";"VTBR RX Equity";"MGNT RX Equity";"SNGS RX Equity";"SBER RX Equity";"GMKN RX Equity";"LKOH RX Equity";"ROSN RX Equity";"GAZP RX Equity"
"2006-01-31";Inf;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2006-02-28";Inf;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2006-03-31";Inf;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2006-04-28";16,5099305953;-0,184484633472897;0,333907640935064;NA;0,174625544829419;NA;NA;NA;NA;NA;-0,464294063708881;-0,155626344635644;0,152165268751689;NA;NA;0,00848894985509902;-0,0778515932413578;NA;-0,11774336494122;NA;0,330812595628729
"2006-05-31";17,0224586420953;-0,0292925115438775;0,289853215955434;NA;-0,181370516040593;NA;NA;NA;NA;NA;-0,233968104610288;0,0575256496670128;-0,380915762222544;NA;NA;-0,119693270420607;0,06699485479511;NA;-0,0547598351620917;NA;0,585626279582443
"2006-06-30";14,3871433644057;-0,101848149678155;0,198455139092284;NA;-0,176612685993894;NA;NA;NA;NA;NA;-0,19421976549962;-0,216393835378158;-0,310925563450173;NA;NA;0,0294287272086857;0,280528175161278;NA;0,0666707762333276;NA;0,424917182304425
"2006-07-31";39,3007411818871;-0,233329608330868;0,505672973781039;NA;-0,210516944680603;NA;NA;NA;0,0783390099308815;NA;0,152982482429453;-0,0279829914849884;-0,223958521079598;NA;NA;-0,269190141680499;0,149760392620888;NA;0,11324514123774;NA;-0,0350217927434442
"2006-08-31";16,7169205013081;-0,301742621874296;NA;NA;0,321009603380581;NA;NA;NA;-0,335886379997276;NA;0,134093382933068;-0,258099321180261;0,159107050711291;NA;NA;-0,0576552116023324;0,38578996297506;NA;-0,0458435595097792;NA;-0,00077290583605526
"2006-09-29";15,9402078222324;-0,174465560984709;0,0719672693366948;NA;0,319357563082587;NA;NA;NA;-0,281150667099457;NA;0,286032011590555;-0,00275251494577588;0,0342967583084174;NA;NA;-0,262778699359821;0,288346397681745;NA;-0,223336170631616;NA;-0,0555163869786205
"2006-10-31";14,9102430651706;-0,138204664270365;0,225763163128947;NA;0,153124518630172;NA;NA;NA;-0,136047039037184;NA;0,128917571833205;-0,0674632144783073;-0,175523015082593;NA;0,1778510105535;-0,241664207124737;0,25134322463752;NA;-0,169280231144706;0,0630005112166555;-0,0718176288621088
