"";"SIBN RX Equity";"NVTK RX Equity";"PHST RX Equity";"AFLT RX Equity";"PIKK RX Equity";"FEES RX Equity";"HYDR RX Equity";"NLMK RX Equity";"URKA RX Equity";"MTSS RX Equity";"CHMF RX Equity";"TATN RX Equity";"VTBR RX Equity";"MGNT RX Equity";"SNGS RX Equity";"SBER RX Equity";"GMKN RX Equity";"LKOH RX Equity";"ROSN RX Equity";"GAZP RX Equity";"AR1";"C";"O";"S";"P1";"P2";"mean";"sd";"zstat"
"2006-01-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-0,102476076243182;0,488966861566729;-0,0224689839939828
"2006-02-28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-0,102476076243182;0,488966861566729;-0,0224689839939828
"2006-03-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-0,102476076243182;0,488966861566729;-0,0224689839939828
"2006-04-28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-0,102476076243182;0,488966861566729;-0,0224689839939828
"2006-05-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-0,102476076243182;0,488966861566729;-0,0224689839939828
"2006-06-30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-0,102476076243182;0,488966861566729;-0,0224689839939828
"2006-07-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-0,102476076243182;0,488966861566729;-0,0224689839939828
"2006-08-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-0,102476076243182;0,488966861566729;-0,0224689839939828
"2006-09-29";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-0,102476076243182;0,488966861566729;-0,0224689839939828
"2006-10-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-0,102476076243182;0,488966861566729;-0,0224689839939828
"2006-11-30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-0,102476076243182;0,488966861566729;-0,0224689839939828
"2006-12-29";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-0,102476076243182;0,488966861566729;-0,0224689839939828
"2007-01-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-0,102476076243182;0,488966861566729;-0,0224689839939828
"2007-02-28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-0,102476076243182;0,488966861566729;-0,0224689839939828
"2007-03-30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-0,102476076243182;0,488966861566729;-0,0224689839939828
"2007-04-28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-0,102476076243182;0,488966861566729;-0,0224689839939828
"2007-05-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-0,102476076243182;0,488966861566729;-0,0224689839939828
"2007-06-29";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-0,102476076243182;0,488966861566729;-0,0224689839939828
"2007-07-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-0,102476076243182;0,488966861566729;-0,0224689839939828
"2007-08-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-0,102476076243182;0,488966861566729;-0,0224689839939828
"2007-09-28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-0,102476076243182;0,488966861566729;-0,0224689839939828
"2007-10-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-0,102476076243182;0,488966861566729;-0,0224689839939828
"2007-11-30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-0,102476076243182;0,488966861566729;-0,0224689839939828
"2007-12-29";-0,0102625573908205;-0,971751683591995;NA;0,0956320731510483;NA;NA;NA;NA;NA;0,0902964394524119;-0,0741486626890993;0,00188402173869011;NA;NA;-0,0130865714622899;-1,33283167046279;NA;-0,00909975915615481;NA;-0,0983364575062482;0,0801489542037663;0,0383196596049833;-1,22527515396737;1,09177489373121;-0,171819919841146;-0,171819919841146;-0,102476076243182;0,488966861566729;-0,0224689839939828
"2008-01-31";-0,0163899602675551;-0,244454107289585;NA;-0,0542023499870897;NA;NA;NA;NA;NA;-0,0129271580613063;-0,0524983154596943;-0,0865364701108326;NA;NA;0,0146839190543425;-1,06770041788875;NA;0,00949200457769312;NA;-0,0854198474244829;0,0137443886208157;-0,0153738611829801;-0,881786590408621;0,916869435683553;0,0504567064579117;0,050456706457912;-0,102476076243182;0,488966861566729;-0,0224689839939828
"2008-02-29";-0,0801514486480082;0,00824983171592776;NA;0,0565255143091657;NA;NA;NA;NA;NA;0,0121893657992935;-0,0719739855854438;-0,116811133970075;NA;NA;0,0060947964948478;-2,04857652372769;NA;0,00355912745029118;NA;-0,00191749863291659;0,0287002608641397;0,208085351328493;-1,32003138596652;1,30225113821203;-0,225865599082985;-0,225865599082985;-0,102476076243182;0,488966861566729;-0,0224689839939828
"2008-03-31";-0,0916589497950805;-0,0147098132600531;NA;0,024970414188915;NA;NA;NA;0,0271514920438362;NA;-0,101890388755996;-0,0189967162111295;-0,113031733023839;NA;NA;0,00488768534770295;-0,976685673753872;NA;0,00121836480652492;NA;-0,0279175604624686;0,0124617775207411;0,102607083734521;-0,746269463131082;0,81461028959285;-0,0342662572727528;-0,0342662572727527;-0,102476076243182;0,488966861566729;-0,0224689839939828
"2008-04-30";-0,144220630894921;0,00178916899249318;NA;-0,115627038820966;NA;NA;NA;0,0737842294293186;NA;-0,232663542066477;-0,030167144905248;0,00665542478539364;NA;NA;0,0188566922004048;-2,17711305316564;NA;-0,00177362593666946;NA;-0,0317792950746517;0,0526980871760956;0,122582653021586;-1,29577426959742;1,12333695321071;-0,295019969408289;-0,295019969408289;-0,102476076243182;0,488966861566729;-0,0224689839939828
"2008-05-30";-0,14445873582392;0,0282279486708955;NA;0,051346200381056;NA;NA;NA;0,0848151063496426;NA;-0,261016194275537;0,0969802454018456;0,0539484909183406;NA;NA;-0,0925548873703408;-1,06695635784781;NA;-0,0596650580154479;NA;-0,109513971988932;0,075821911957597;0,447052645479599;-0,836102656383399;0,955910103711349;-0,327245198151648;-0,327245198151648;-0,102476076243182;0,488966861566729;-0,0224689839939828
