"";"SIBN RX Equity";"NVTK RX Equity";"PHST RX Equity";"AFLT RX Equity";"PIKK RX Equity";"FEES RX Equity";"HYDR RX Equity";"NLMK RX Equity";"URKA RX Equity";"MTSS RX Equity";"CHMF RX Equity";"TATN RX Equity";"VTBR RX Equity";"MGNT RX Equity";"SNGS RX Equity";"SBER RX Equity";"GMKN RX Equity";"LKOH RX Equity";"ROSN RX Equity";"GAZP RX Equity";"Rm"
"2006-01-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2006-02-28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2006-03-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2006-04-28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2006-05-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2006-06-30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2006-07-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2006-08-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2006-09-29";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2006-10-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2006-11-30";-0,129762384212646;1,0852499233364;NA;0,320384014288904;NA;NA;NA;NA;NA;0,145578947368421;-0,0599451394928748;0,065876087459892;NA;NA;-0,0606602868331647;0,568726174207006;NA;0,0865312299792944;NA;0,403594022187586;0,242557258828882
"2006-12-29";-0,0689548066469948;0,757266596201423;NA;0,0439139941690962;NA;NA;NA;NA;NA;0,171485902449064;-0,145831388292409;-0,233282646123685;NA;NA;-0,0204907048705016;1,1490839587898;NA;0,013860515517027;NA;0,386236598552186;0,2053288019745
"2007-01-31";-0,100297460147967;0,288866639649733;NA;0,253147557495384;NA;NA;NA;NA;NA;0,336707369323051;-0,140245502522087;-0,223590917401992;NA;NA;-0,23864258347017;1,12247079112925;NA;-0,0863213177369299;NA;0,23546524249924;0,144755981881751
"2007-02-28";-0,200406769811869;0,221454987457005;NA;0,199461370139707;NA;NA;NA;0,0948356807511737;NA;0,322427026724186;-0,0661083392729866;-0,275212598425197;NA;NA;-0,343911985613033;0,975789151087956;NA;-0,162820569785149;NA;-0,139976772695013;0,0568664709597073
"2007-03-30";-0,112892670157068;0,397863446353925;NA;0,56600974782793;NA;NA;NA;0,265092748735245;NA;0,576030287984111;0,00762289981331699;0,0298671630425587;NA;NA;-0,111449468446668;1,14368482039397;NA;0,0632843398235474;NA;-0,052968323893434;0,252013181043403
"2007-04-28";-0,131132837025742;0,159607317447297;NA;0,560975609756097;NA;NA;NA;0,196134453781513;NA;0,701955174058178;0,16641446621775;0,16991643454039;NA;NA;-0,142719943387166;1,21545157780196;NA;-0,0808958116498583;NA;-0,0818788592640183;0,248529780206945
"2007-05-31";-0,176155507559395;0,0304052664060892;NA;0,272402145837473;NA;NA;NA;0,180269814502529;NA;0,432307964810769;-0,00608344905111413;-0,147359772947942;NA;0,518894434425198;-0,283687762638482;0,978448275862069;NA;-0,158823073344704;0,0159427443237907;-0,152107403808084;0,115727205909092
"2007-06-29";-0,0651454138702461;NA;NA;0,216567852437418;NA;NA;NA;0,441320754716981;NA;0,341257263602747;0,0737235697031866;-0,161985351631942;NA;0,12857;-0,285025517400559;0,748789204424256;NA;-0,122734034687642;0,0357739209634165;-0,145509154232035;0,100466924502132
"2007-07-31";0,0136986301369864;0,040749063670412;NA;0,144471744471744;NA;NA;NA;0,589133797370456;NA;0,433666576600919;0,42814371257485;0,125662778366914;NA;0,336871444823663;-0,164206906433587;0,812241379310345;NA;0,0138217921451165;0,00860357379219079;-0,0418930213121605;0,210843428116758
"2007-08-31";-0,12451467268623;-0,160165331955567;NA;0,148178536265179;NA;NA;NA;0,447669305189094;NA;0,383970223325062;0,285830222366499;0,0454949494949495;NA;0,194543391945547;-0,0553677961618715;0,619649239464716;NA;-0,115643169867266;-0,0757661624307947;-0,0561526728388494;0,118286620162344
"2007-09-28";-0,0313772676786376;-0,228764705882353;NA;0,304700710179236;NA;NA;NA;0,397222222222222;NA;0,320913351098043;0,672585581097431;0,0789820777407091;NA;0,147045229448663;-0,0591938155715074;0,581537521014825;NA;-0,111497558120158;-0,111545825355864;-0,103566529492455;0,142849306976935
"2007-10-31";-0,000166805671392933;-0,153407042422786;NA;0,49013789492058;NA;NA;NA;0,583619881212879;NA;0,482893407703456;0,914926950122053;0,24954925422062;NA;0,220268272074356;-0,198597084722153;0,152603036876356;0,779193548387097;-0,0215293504400046;-0,111530260783992;0,0127247488101534;0,242906175020516
"2007-11-30";0,106900644286199;0,0724071790656255;NA;0,165572672471534;NA;NA;NA;0,508668730650155;NA;0,450819343723707;0,712008681791976;0,271522023549934;NA;0,149942225571464;-0,111993248523114;0,188944838635843;0,579332679855993;0,00462692452032454;-0,0548032975951477;0,133970619245097;0,226994286946399
"2007-12-29";0,378452034883721;0,301573858423319;NA;0,303817008139208;NA;NA;NA;0,4289594053745;NA;0,595068632435181;0,592030782929466;0,290544063966626;NA;0,224956131047648;-0,0465011286681716;0,0578563673026213;0,396059204759869;-7,23735633848532e-05;0,0486432525637535;0,285757155182115;0,275510313912605
"2008-01-31";0,208594614533383;0,0573498139287614;NA;0,222056833558863;NA;NA;NA;0,174486803519062;NA;0,217500886070964;0,416025937934229;-0,0299046993098916;NA;0,0136079179796726;-0,302080783353733;-0,0488648648648649;0,184874699750666;-0,257348634886289;-0,206419044090404;0,073983829881493;0,0517045221894222
"2008-02-29";0,521936616083411;0,307764198418404;NA;0,424703663793103;NA;NA;NA;0,592946466207672;NA;0,237961814033543;0,818149385398761;0,235796387520526;NA;-0,00307342711645509;-0,346609669811321;-0,211198428290766;0,411022776759401;-0,12580049982428;-0,122753551741137;0,187031061695758;0,209134056651901
"2008-03-31";0,386640100671141;0,499440983868392;NA;0,553560274828232;NA;NA;NA;0,425632233176168;NA;0,236819324786677;0,571518861020557;0,334180098107919;-0,411394593099634;0,0319757006765153;-0,215032354405177;-0,201633986928105;0,385779227175651;0,0204003256678496;0,0252635670213281;0,259201086725814;0,193490056619555
"2008-04-30";0,379151909639131;0,360991785364383;NA;0,378367402193042;0,0249467275494673;NA;NA;0,461578740672863;NA;0,109925167388736;0,616444266387254;0,2902842596521;-0,370957424123961;-0,079640607140009;-0,173033466049715;-0,229053418369744;0,196009740356748;0,083599882210782;0,128627259404006;0,16871704745167;0,146622454536672
"2008-05-30";0,658971471471471;0,520368504390385;NA;0,369972806640904;-0,11515940143136;NA;NA;0,411363912884779;NA;0,145457972107049;0,383398223020864;0,483592400690846;-0,286707147560173;0,033647913812324;-0,00579461683524773;-0,189040053277519;0,224988199704861;0,290612892549111;0,342472815898013;0,30894486242867;0,223568172280936
