"";"SIBN RX Equity";"NVTK RX Equity";"PHST RX Equity";"AFLT RX Equity";"PIKK RX Equity";"FEES RX Equity";"HYDR RX Equity";"NLMK RX Equity";"URKA RX Equity";"MTSS RX Equity";"CHMF RX Equity";"TATN RX Equity";"VTBR RX Equity";"MGNT RX Equity";"SNGS RX Equity";"SBER RX Equity";"GMKN RX Equity";"LKOH RX Equity";"ROSN RX Equity";"GAZP RX Equity";"Rm"
"2006-01-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2006-02-28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2006-03-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2006-04-28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2006-05-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2006-06-30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2006-07-31";-0,0676600886024971;0,490647040785035;NA;0,123688323286448;NA;NA;NA;NA;NA;-0,108578947368421;0,0117749381146717;0,107224372333036;NA;NA;0,0183096034648202;0,112469730753554;NA;0,0778172904615555;NA;0,273631612725773;0,103932387595397
"2006-08-31";-0,132241031216027;NA;NA;0,106413994169096;NA;NA;NA;NA;NA;-0,0260341634081087;-0,0595026919366384;-0,116345996757694;NA;NA;-0,0499476159150158;0,333126660761736;NA;-0,00290444637876819;NA;0,433932007697242;0,0540551907795357
"2006-09-29";-0,198230493478758;0,178679931451154;NA;0,0248447204968945;NA;NA;NA;NA;NA;-0,00894387317909162;-0,181969268449136;-0,233681188078582;NA;NA;-0,169581875728802;0,40882703004688;NA;-0,12041927993229;NA;0,246841214015892;-0,005363308283584
"2006-10-31";-0,195540059562722;0,334816079171731;NA;0,0257532401952534;NA;NA;NA;-0,110328638497653;NA;0,128914785142025;-0,0851449275362319;-0,220472440944882;NA;NA;-0,280080397757326;0,229032587598325;NA;-0,128135009916508;NA;-0,0905542293051165;-0,0356126374011913
"2006-11-30";-0,116164921465968;0,579191825359963;NA;0,253231616867981;NA;NA;NA;0,0320404721753795;NA;0,35091857000993;-0,125637834474175;0,0905321939250359;NA;NA;-0,0151988906713071;0,516338354577057;NA;0,112531373592942;NA;0,0704845814977975;0,15893339467224
"2006-12-29";0,0754327742398422;0,38736053033486;NA;0,204583683767872;NA;NA;NA;0,0752941176470587;NA;0,551127460998706;0,0383218582129079;0,172029584093747;NA;NA;0,0160487274749159;1,00652883569097;NA;0,0241763270286759;NA;0,0799157654281328;0,239165424083426
"2007-01-31";0,0190928725701944;0,201234313927175;NA;0,483210808662826;NA;NA;NA;0,0893760539629005;NA;0,473637598157879;-0,025094227335846;-0,143700052281724;NA;0,391393700457157;-0,185203107092831;0,883189655172414;NA;-0,0932831963611929;0,155528134254689;0,0241514595256094;0,174887231816865
"2007-02-28";-0,0149440715883669;NA;NA;0,173583662714098;NA;NA;NA;0,32;NA;0,246909667194928;0,0405347275073624;-0,181824646234801;NA;0,03718;-0,204729053932757;0,690830124943613;NA;-0,0768757961499745;0,115114102110004;-0,148193117551203;0,0831321332510752
"2007-03-30";0,0315829528158296;0,127191011235955;NA;0,210483210483211;NA;NA;NA;0,450502706883217;NA;0,372223723318022;0,154298545765612;0,0756451042771298;NA;0,281626848691695;-0,0634761427138559;0,594827586206897;NA;0,103774469407997;0,0207053039614258;-0,0567279565399081;0,177127489522556
"2007-04-28";-0,125327313769752;-0,10165331955567;NA;0,218247456514604;NA;NA;NA;0,251890941072999;NA;0,23985111662531;0,000908943353351566;-0,0157575757575757;NA;0,387850255246739;-0,0031445616716137;0,692294904829191;NA;-0,050837406472237;-0,0272897685165002;-0,0875456706040936;0,106114461638058
"2007-05-31";-0,117363939281748;-0,263411764705882;NA;0,0828542441663849;NA;NA;NA;0,143627450980392;NA;0,114536432968851;0,0697459255569;-0,114283497556055;NA;0,195609111918125;-0,223467697404749;0,40302613480055;NA;-0,165569280596135;-0,143303088320985;-0,230615977529558;-0,0191243034618392
"2007-06-29";-0,128690575479566;-0,202679966350198;NA;0,289404782684587;NA;NA;NA;0,193966864645202;NA;0,115112653168782;0,182242139395927;-0,0341747254548435;NA;0,191983523447402;-0,306527038455798;0,0848145336225596;0,308660801564027;-0,137240300841462;-0,160652780055765;-0,116109201480698;0,0200079078864396
"2007-07-31";-0,0966429298067141;-0,048225784354021;NA;-0,0640321500334896;NA;NA;NA;0,272291021671827;NA;0,0629432268921031;0,358836097263201;0,111033580462276;NA;0,180718412459181;-0,0883943362610571;0,202906843671321;0,296116206768722;-0,0240134532343343;-0,0886335483319807;-0,0330709214873129;0,0744165904056943
"2007-08-31";-0,119186046511628;-0,0822217517114828;NA;-0,0181027224249229;NA;NA;NA;0,176386506575186;NA;0,181452296220979;0,259619665458246;0,124456805145142;NA;0,0152432557511715;0,0365366010964205;0,00749702704100108;0,233952064524207;-0,0790029817908114;-0,0379798529812143;-0,00191305000187547;0,0497669868850299
"2007-09-28";-0,034950202877167;-0,128721424774056;NA;0,0441136671177265;NA;NA;NA;0,139829378832312;NA;0,132241168826054;0,451381812567547;0,142540256325994;NA;-0,0747680972881808;0,042717258261934;0,118702702702703;0,323565498470986;-0,0703457155502702;-0,0113931085587253;0,013290508361945;0,0777288358870572
"2007-10-31";0,237534840507897;0,0128684399712438;NA;0,149919181034483;NA;NA;NA;0,423633553463538;NA;0,351479005723892;0,704634644698862;0,251806239737274;NA;-0,0556159523945758;-0,0501768867924528;0,0439096267190571;0,474657943508775;0,0903295716349723;-0,0289069152511988;0,191190763130273;0,199804575406574
"2007-11-30";0,369232382550335;0,250199648618432;NA;0,358682073703935;NA;NA;NA;0,392484640662952;NA;0,492683127911291;0,67926285676269;0,27697967764541;-0,224296480674825;0,0534124902204427;0,0100974187584442;0,131699346405229;0,45542437852758;0,0829019258439969;0,075061944322985;0,369699027889799;0,25156829727658
"2007-12-29";0,452474394563033;0,389856055467631;NA;0,257750101529714;0,121476407914764;NA;NA;0,308679146485142;NA;0,482867270578968;0,542821042250917;0,259991514637251;-0,11152178548582;0,125760918684707;0,0605832346927795;0,0227964635037627;0,207578281394724;0,0521978858866177;0,128969223253542;0,281718580563138;0,223999920995054
"2008-01-31";0,229917417417417;0,14517057722758;NA;0,292543294690139;-0,138074170461939;NA;NA;0,0720282272782578;NA;0,165322276667923;0,14450434261755;-0,0730098916627414;-0,275733411368791;-0,0282782037426281;-0,217966740956626;-0,162972124441062;0,00146165737557924;-0,191455911843156;-0,196897262842145;0,0573547050485226;-0,0110053261872574
"2008-02-29";0,520523927392739;0,398877268532759;0,207142857142857;0,511647849078176;-0,0111434177922282;NA;NA;0,377521263669502;NA;0,109047226306164;0,415273920727089;0,163394651414438;-0,241666666666667;0,158254114474022;-0,310487508944405;-0,175818536385097;0,218790567800495;-0,0617390666582845;-0,0767416631290976;0,147549609140108;0,138260376241328
