"";"SIBN RX Equity";"NVTK RX Equity";"PHST RX Equity";"AFLT RX Equity";"PIKK RX Equity";"FEES RX Equity";"HYDR RX Equity";"NLMK RX Equity";"URKA RX Equity";"MTSS RX Equity";"CHMF RX Equity";"TATN RX Equity";"VTBR RX Equity";"MGNT RX Equity";"SNGS RX Equity";"SBER RX Equity";"GMKN RX Equity";"LKOH RX Equity";"ROSN RX Equity";"GAZP RX Equity";"AR1";"C";"O";"S";"P1";"P2";"mean";"sd";"zstat"
"2006-01-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0,0185656495230792;0,139599674682697;0,0131040979033845
"2006-02-28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0,0185656495230792;0,139599674682697;0,0131040979033845
"2006-03-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0,0185656495230792;0,139599674682697;0,0131040979033845
"2006-04-28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0,0185656495230792;0,139599674682697;0,0131040979033845
"2006-05-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0,0185656495230792;0,139599674682697;0,0131040979033845
"2006-06-30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0,0185656495230792;0,139599674682697;0,0131040979033845
"2006-07-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0,0185656495230792;0,139599674682697;0,0131040979033845
"2006-08-31";-0,0323627130829016;NA;NA;-0,0993474487694859;NA;NA;NA;NA;NA;-0,00733868903151691;-0,0289243839515892;-0,133553324939799;NA;NA;-0,090493514859396;-0,000859755034768067;NA;-0,0362005973611644;NA;-0,173191801307408;-0,0101061569240692;-0,847845219289076;-0,982071376724692;0,340026815037977;0,00859374901729112;0,205800657602361;0,0185656495230792;0,139599674682697;0,0131040979033845
"2006-09-29";0,00453341509369708;0,0141388609787377;NA;-0,0607899825285532;NA;NA;NA;NA;NA;-0,0546496117873501;-2,77287654974392e-05;-0,0552759069507482;NA;NA;-0,00547154191675576;0,0019559738584338;NA;-0,00191068725921605;NA;-0,0951451747792676;-0,00212504991247908;-0,012358005849912;-0,387053508045823;0,402813058459785;0,028117556263874;0,028117556263874;0,0185656495230792;0,139599674682697;0,0131040979033845
"2006-10-31";-0,0214004756279322;0,0136922851729902;NA;-0,0973663617673083;NA;NA;NA;NA;NA;-0,125435400363556;-0,0904707556587937;-0,142650629253786;NA;NA;0,00476634052021407;0,0224143764862625;NA;-2,74866133038469e-05;NA;-0,0455237542521254;-0,0113226294762086;-0,183013148718596;-0,624116689313261;0,366114065808829;-0,0749894747858354;-0,0749894747858355;0,0185656495230792;0,139599674682697;0,0131040979033845
