"";"SIBN RX Equity";"NVTK RX Equity";"PHST RX Equity";"AFLT RX Equity";"PIKK RX Equity";"FEES RX Equity";"HYDR RX Equity";"NLMK RX Equity";"URKA RX Equity";"MTSS RX Equity";"CHMF RX Equity";"TATN RX Equity";"VTBR RX Equity";"MGNT RX Equity";"SNGS RX Equity";"SBER RX Equity";"GMKN RX Equity";"LKOH RX Equity";"ROSN RX Equity";"GAZP RX Equity";"AR1";"C";"O";"S";"P1";"P2";"mean";"sd";"zstat"
"2006-01-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0,0149216885934103;0,112503007322489;0,0130687854490786
"2006-02-28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0,0149216885934103;0,112503007322489;0,0130687854490786
"2006-03-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0,0149216885934103;0,112503007322489;0,0130687854490786
"2006-04-28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0,0149216885934103;0,112503007322489;0,0130687854490786
"2006-05-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0,0149216885934103;0,112503007322489;0,0130687854490786
"2006-06-30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0,0149216885934103;0,112503007322489;0,0130687854490786
"2006-07-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0,0149216885934103;0,112503007322489;0,0130687854490786
"2006-08-31";-0,0106363851133088;NA;NA;0,0132877716476196;NA;NA;NA;NA;NA;-0,117580877092777;-0,0299778032490519;-0,068108746700216;NA;NA;-0,0010626309252319;0,0145419371029253;NA;-0,000960801471331702;NA;-0,0475694775935593;0,00623641284628319;0,101602835744675;-0,322016496424258;0,517013500734523;-0,147764575423392;0,0933941685655904;0,0149216885934103;0,112503007322489;0,0130687854490786
"2006-09-29";-0,000945474766528046;-0,0523006038893523;NA;-0,0245327245971052;NA;NA;NA;NA;NA;-0,0284350889664174;0,00080344711194803;-0,000613912354657492;NA;NA;0,00294468936958102;0,0137357642524824;NA;-0,00491156430925643;NA;-0,0653260350720022;0,000124114857915822;0,025833646371264;-0,227756902998449;0,357685033336889;0,104094483967176;0,104094483967176;0,0149216885934103;0,112503007322489;0,0130687854490786
"2006-10-31";-0,0204827829065966;NA;NA;-0,000302738048247531;NA;NA;NA;NA;NA;0,000699585756835401;-0,016420529685787;0,00344908012672715;NA;NA;0,00398465687347428;-0,131358087614857;NA;0,000334696633324483;NA;-0,164433605389444;-0,00116355778088675;0,0156344890197341;-0,433119537696599;0,46508051751459;0,0163264907982566;0,0163264907982567;0,0149216885934103;0,112503007322489;0,0130687854490786
"2006-11-30";-0,062469124657959;0,0184878496884012;NA;-0,0016256623980202;NA;NA;NA;-0,0712701534450249;NA;0,00512590304362489;-0,0280908473453687;-0,122393087534861;NA;NA;-0,0784328174985099;-0,010526726968797;NA;-0,0610196100040265;NA;-0,0102956131055669;-0,0095408949443633;-0,201281503904559;-0,492415078017803;0,356375796270269;0,0652422221570252;0,0652422221570252;0,0149216885934103;0,112503007322489;0,0130687854490786
"2006-12-29";-0,0166009002313565;-0,159379981721027;NA;-0,102351477285208;NA;NA;NA;-0,00688863615159467;NA;-0,0302362465904473;0,00280255513084603;-0,00287068435786125;NA;NA;-0,019177639895118;0,0546275440715522;NA;0,000823645462660829;NA;-0,00125906581802327;0,0104968504440093;0,0148867719814139;-0,269903210885744;0,411976990704664;0,127187007837506;0,127187007837506;0,0149216885934103;0,112503007322489;0,0130687854490786
"2007-01-31";-0,00379881621454487;-0,233008824050398;NA;0,00457189131537201;NA;NA;NA;0,000770975056689337;NA;-0,162269498805012;-0,000871784856978529;-0,082948922766664;NA;NA;0,00271644273358723;-0,0375042100388815;NA;-0,00752037505568659;NA;-0,015180054239897;0,00638345197296333;-0,234010499265779;-0,522606665308536;0,419225207977695;0,130629041934938;0,130629041934938;0,0149216885934103;0,112503007322489;0,0130687854490786
"2007-02-28";-0,00422187536132921;-0,191375936838506;NA;0,0145975787397821;NA;NA;NA;0,00114797845781298;NA;-0,105938835803003;-0,022047020053927;-0,00280282681343756;NA;-0,0738591469056852;-0,00602574242271139;-0,926075796812493;NA;0,0012583001786327;-0,0611478029893963;-0,0185051552218194;-0,00226254833222195;-0,278451894336503;-0,985536806797707;0,754435905700263;0,0473509932390588;0,0473509932390587;0,0149216885934103;0,112503007322489;0,0130687854490786
"2007-03-30";-0,00757290987460673;NA;NA;-0,0549355399659875;NA;NA;NA;-0,012599704399944;NA;-0,095897297396366;-0,0029769089490067;-0,0455210756300554;NA;-0,000649214095076618;-0,0360821157039212;-0,247634600020417;NA;-0,0077997906138272;-0,0484146578443653;-0,00388764585550358;0,00272241692573325;-0,00159972627920191;-0,484327059190135;0,482881117125828;0,000153784214894377;0,000153784214894372;0,0149216885934103;0,112503007322489;0,0130687854490786
"2007-04-28";-0,00788861785384463;-0,00488502254277184;NA;-0,0209754499433642;NA;NA;NA;-0,118275261317553;NA;-0,0598281329659209;-0,0169552566176152;0,000701632387064816;NA;-7,55090950839005e-05;-0,0228429203005642;-0,410167283552585;NA;-0,00077853452612612;-0,00122484358290878;-0,00261619549289472;0,00325024269514344;-0,153508898452179;-0,639007351851968;0,525607553537558;0,0401091001377702;0,0401091001377702;0,0149216885934103;0,112503007322489;0,0130687854490786
"2007-05-31";0,00208081274446095;0,00393381986189425;NA;-0,0736027075242609;NA;NA;NA;-0,123582145527584;NA;-0,0793232042381625;-0,00630979908706021;0,000749758472672903;NA;-0,0871748239238911;0,0039493212743036;-0,293184187099733;NA;-0,00592571613874436;-0,00070410448753314;0,0035699322301123;-0,0101934034889065;-0,245192471071569;-0,585210045807493;0,408165560340003;0,0681479856040788;0,0681479856040787;0,0149216885934103;0,112503007322489;0,0130687854490786
"2007-06-29";-0,0188003482155166;-0,0246623352296896;NA;-0,0664640467563155;NA;NA;NA;-0,0145905714093408;NA;-0,0194368287631913;-0,00435085538399872;-0,00124197024663751;NA;-0,146770092755168;0,00727685776839807;-0,318701629271787;NA;-0,0107211614354984;0,000805652439807184;-0,0318989563596271;-0,00103784419594242;-0,0113021794480866;-0,50241289808803;0,501859508569293;0,0107487899293498;0,0107487899293499;0,0149216885934103;0,112503007322489;0,0130687854490786
"2007-07-31";-0,0659285260886415;-0,0884142691663548;NA;-0,00315582322170748;NA;NA;NA;0,00755007526826601;NA;0,00184376054504099;0,0226344578757209;-0,0116088664986096;NA;-0,0097188027188861;-0,10132640946937;-0,00064784165530473;0,00471709266116599;-0,0284190033457332;-0,0300497865749593;-0,0862048397713463;-0,00586658088479225;-0,0843617938798789;-0,357270103437664;0,342810292203118;0,0699019826453334;0,0699019826453334;0,0149216885934103;0,112503007322489;0,0130687854490786
"2007-08-31";-0,00485737598283098;-0,00647006749853602;NA;0,000442470444153291;NA;NA;NA;-0,0191891544273433;NA;0,0014000719661539;0,0120776030297805;0,00195168457513411;NA;-0,0269153016580823;-0,036203057465323;-0,0246705490489441;-0,0327987615948398;-0,00215463923484551;-0,0202677251382233;-0,00331232457235056;0,000559768984741254;0,0219179345344562;-0,210642311934017;0,26577115106861;0,0332109046001369;0,033210904600137;0,0149216885934103;0,112503007322489;0,0130687854490786
"2007-09-28";-0,000449355436426149;0,00071708240859657;NA;-0,00241567915476469;NA;NA;NA;-0,023498516941215;NA;-0,00498891342982607;-0,0277210085946262;-0,00163844661040844;NA;-0,0327128317670545;-0,0135583821070152;-0,00890183180447746;-0,0257189916502959;-0,000181707220264689;-0,00102961152021186;-0,00110303637628424;0,0029730017954038;-0,0289126557849798;-0,209538158480212;0,233379395648412;0,0527538929531793;0,0527538929531793;0,0149216885934103;0,112503007322489;0,0130687854490786
"2007-10-31";-0,0362324143099238;-0,0297835942694799;NA;-0,0145327198290848;NA;NA;NA;0,0130097657946134;NA;0,011051987533594;0,0231608899078552;0,0072707833244795;NA;-0,0106110799644274;-0,000308354199478867;0,00199515821686742;0,0162615224629528;-0,0464582539820466;-0,000726801882264334;-0,00299305972930312;0,00189898645958303;0,0454633068128844;-0,0981669884417893;0,257394776010047;0,113764480755373;0,113764480755373;0,0149216885934103;0,112503007322489;0,0130687854490786
"2007-11-30";0,0134420385112973;-0,0144449683700376;NA;0,00347398663415359;NA;NA;NA;-0,0124398854679253;NA;0,0163863698154105;-0,236218222743807;-0,0132631240873355;NA;-0,036412461516477;-0,000785861226474518;-0,000206960630328354;-0,0588787053623055;2,99356851524568e-05;-0,00346584374192223;0,0072754108617978;0,00881021964857584;0,0347349498684184;-0,365939250432821;0,429571521120321;0,0288973208190818;0,0288973208190817;0,0149216885934103;0,112503007322489;0,0130687854490786
"2007-12-29";0,00222029764354015;0,0230037760300874;NA;-0,0815201873800139;NA;NA;NA;-0,20634177846495;NA;-0,108422726361376;-0,595571735685522;-0,12137489088839;-0,0397734889631102;0,00229883650245597;-0,0331335198613359;-0,0307342399916768;-0,335329947918105;-0,0310730307850857;0,000729360927611063;-0,0547464686583449;0,0123567384877213;-0,541759780896666;-1,16854880628751;0,545665842243315;-0,0811231831475285;-0,0811231831475284;0,0149216885934103;0,112503007322489;0,0130687854490786
"2008-01-31";-0,061478706521792;-0,0293938903154892;NA;-0,0248949163655932;-0,0189811184845603;NA;NA;-0,102538893276266;NA;-0,243959508405807;-0,359743382770707;-0,101199390868386;-0,0172196441257873;-0,000230765420893046;-0,0041184581001406;-0,00742276973033775;-0,140943114684528;-0,0212461318310607;-0,0248366538097675;-0,0629729238453102;-0,0185370559022492;-0,642056090851781;-1,07072484570502;0,448022360821782;0,0193536059685403;0,0193536059685403;0,0149216885934103;0,112503007322489;0,0130687854490786
"2008-02-29";-0,191807388731306;-0,11160367053736;NA;-0,0630959456099753;0,000897511195565174;NA;NA;-0,0178011586925408;NA;-0,250519521155585;-0,0323492566503332;-0,0251990307442627;0,0159479699059033;-0,00983965200514871;-0,00365149362499732;0,00503452404519913;-0,00773492924661875;-0,00125982741500144;-0,0196351612142983;-0,0872871435903069;-0,00970457516236002;-0,461906199172845;-0,678799669973106;0,366497194982759;0,149603724182498;0,149603724182498;0,0149216885934103;0,112503007322489;0,0130687854490786
