"";"SIBN RX Equity";"NVTK RX Equity";"PHST RX Equity";"AFLT RX Equity";"PIKK RX Equity";"FEES RX Equity";"HYDR RX Equity";"NLMK RX Equity";"URKA RX Equity";"MTSS RX Equity";"CHMF RX Equity";"TATN RX Equity";"VTBR RX Equity";"MGNT RX Equity";"SNGS RX Equity";"SBER RX Equity";"GMKN RX Equity";"LKOH RX Equity";"ROSN RX Equity";"GAZP RX Equity";"AR1";"C";"O";"S";"P1";"P2";"mean";"sd";"zstat"
"2006-01-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0,000996583559767009;0,0819884095934573;0,00119191308291554
"2006-02-28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0,000996583559767009;0,0819884095934573;0,00119191308291554
"2006-03-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0,000996583559767009;0,0819884095934573;0,00119191308291554
"2006-04-28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0,000996583559767009;0,0819884095934573;0,00119191308291554
"2006-05-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0,000996583559767009;0,0819884095934573;0,00119191308291554
"2006-06-30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0,000996583559767009;0,0819884095934573;0,00119191308291554
"2006-07-31";-0,0142949524915815;-0,21602883970818;NA;-0,000222759039367292;NA;NA;NA;NA;NA;-0,0867034223686994;-0,0300872667141183;-0,0591070165745481;NA;NA;-0,000882921625906268;-0,00934317840970296;NA;0,000233856981126092;NA;-0,0832348365530974;0,00288711497203568;0,0830032354279161;-0,591059335021909;0,523476169493705;-0,15058640095612;-0,15058640095612;0,000996583559767009;0,0819884095934573;0,00119191308291554
"2006-08-31";-0,00674094291972652;NA;NA;-0,0239891185196653;NA;NA;NA;NA;NA;-0,0316614414152702;-0,00340004831233722;-0,0331735347263245;NA;NA;-0,00157656572665486;0,0123190995282272;NA;-0,00198686406361678;NA;-0,0399711109702798;0,000697233484252019;0,0351021399746609;-0,203890730294574;0,353269168727792;0,0155423274823651;0,114276298458557;0,000996583559767009;0,0819884095934573;0,00119191308291554
"2006-09-29";-0,0130435115807277;NA;NA;-0,000267765187187716;NA;NA;NA;NA;NA;-0,000501140908989306;-0,00561007524416678;0,00703765558326486;NA;NA;0,00238058965704616;-0,146024389565059;NA;0,00183371845735475;NA;-0,158413013362328;-0,00280208136777714;-0,00849556720376565;-0,417208634322914;0,46508051751459;0,0563674503954419;0,0563674503954419;0,000996583559767009;0,0819884095934573;0,00119191308291554
"2006-10-31";-0,0685644321449581;0,00135737357569041;NA;-0,000811762240575182;NA;NA;NA;-0,0552385422776338;NA;0,00191636729862158;-0,0441594636002838;-0,10934862954492;NA;NA;-0,0619851065004389;-0,027352483183549;NA;-0,0447290694168991;NA;-0,00407364475243296;-0,00536177930116283;-0,143457302536226;-0,481319393401873;0,356375796270269;0,0185137054046221;0,0185137054046219;0,000996583559767009;0,0819884095934573;0,00119191308291554
