date,mean_return,stability_index
30.04.2014,0.752881782958625,1.10267220173811
02.05.2014,0.7797448834997,1.217766715706
05.05.2014,0.827259397277746,1.27448273747788
06.05.2014,0.785209649409047,1.21720603446759
07.05.2014,0.759464004406141,1.14745844806256
08.05.2014,0.841884121261427,1.2671903767215
12.05.2014,0.581369897836748,0.877237671832701
13.05.2014,0.668987568947976,1.02938225922759
14.05.2014,0.868268475528278,1.38172529125537
15.05.2014,0.586576238009617,0.930915508747969
16.05.2014,0.607920399399164,1.00279739100343
19.05.2014,1.00591512372294,1.53442544393609
20.05.2014,0.755619097205806,1.13330281443473
21.05.2014,0.688391701793756,1.04317785968569
22.05.2014,0.659241496129592,1.02683213035297
23.05.2014,0.523764267248605,0.767231196221633
26.05.2014,0.575062886967448,0.836725080544796
27.05.2014,0.150536933571699,0.214246230029955
28.05.2014,0.490851234794509,0.70191174451773
29.05.2014,0.628780406469587,0.91604351606732
30.05.2014,0.200236488907635,0.293556077656248
02.06.2014,0.254863169598174,0.405781685064687
03.06.2014,0.56330597783103,0.913018708272869
04.06.2014,0.755638553153748,1.23294445597846
05.06.2014,0.519020428640027,0.880766628638934
06.06.2014,0.543767917464733,0.997617066886139
09.06.2014,0.675619548710182,1.32110611883274
10.06.2014,0.963749292714944,1.90504320607612
11.06.2014,0.708580111076462,1.46138144575678
12.06.2014,0.711542870728876,1.43376803254302
13.06.2014,0.545198086886245,1.06525771546117
16.06.2014,0.617547785117289,1.20346665370059
17.06.2014,0.617714774629419,1.20676374558388
18.06.2014,0.879272114845997,1.6746044298982
19.06.2014,1.32438086105726,2.42119735012511
20.06.2014,0.912199108001022,1.65653405635749
23.06.2014,0.762846876453249,1.36449925938022
24.06.2014,0.57852613312257,1.01633388821667
25.06.2014,0.592578878387418,1.06824798996634
26.06.2014,0.604124259735084,1.06664760990965
27.06.2014,0.277967859065797,0.478137191716903
30.06.2014,0.14739603548648,0.245967413694212
01.07.2014,0.215449557513914,0.369016488671368
02.07.2014,0.189961803932315,0.324688238231698
03.07.2014,0.198193050931583,0.340731041752113
04.07.2014,0.448105650648745,0.754159371087894
07.07.2014,0.536486841976114,0.938680340063783
08.07.2014,0.653231079099403,1.15018108569489
09.07.2014,0.344391216054718,0.601768658899544
10.07.2014,0.242654239138829,0.42503121191827
11.07.2014,0.165823378351426,0.289778101082333
14.07.2014,0.16817809108447,0.291953854714354
15.07.2014,0.00263705963030603,0.0046022178826715
16.07.2014,-0.175897510450029,-0.304607421943312
17.07.2014,-0.234641046073558,-0.394179139820719
18.07.2014,0.468585219407491,0.719484258909802
21.07.2014,0.444262773150972,0.681751485112982
22.07.2014,0.257061523416491,0.393892233374601
23.07.2014,0.341988352171052,0.524501514403103
24.07.2014,0.487423811223864,0.742282317737043
25.07.2014,0.590832597783453,0.91602228772629
28.07.2014,0.404319207840897,0.628979049805057
29.07.2014,0.294839652210799,0.458986936267076
30.07.2014,-0.00295868328423765,-0.00466333232449627
31.07.2014,-0.365153862272272,-0.592606662656649
01.08.2014,-0.207488372448117,-0.342057549520922
04.08.2014,-0.158309008967272,-0.254268845533504
05.08.2014,-0.147973707538762,-0.229307974925046
06.08.2014,-0.169581644498473,-0.266779906417305
07.08.2014,-0.367988695289767,-0.570384185474949
08.08.2014,-0.0356475376114496,-0.0570906887670215
11.08.2014,0.0129267939333433,0.0206406112717914
12.08.2014,-0.0259553510275401,-0.0438980384977277
13.08.2014,-0.0818860662043952,-0.140987567387821
14.08.2014,-0.0990376882717303,-0.171190891374472
15.08.2014,0.0586079975175791,0.100393134821428
18.08.2014,-0.0329354540892557,-0.0565231826225763
19.08.2014,0.767807679930876,1.27901912213384
20.08.2014,0.573590249564426,0.979756897508264
21.08.2014,0.637729150341526,1.12621522206422
22.08.2014,0.576740396429809,1.02260849776575
25.08.2014,0.4146253007135,0.727694481104458
26.08.2014,0.43052659125804,0.758809915479884
27.08.2014,0.483939072580752,0.784308831228455
28.08.2014,0.328786989158592,0.512766924688436
29.08.2014,-0.268116923768991,-0.429625947244242
01.09.2014,-0.403606591732197,-0.687004692309576
02.09.2014,-0.544762117258002,-0.898685773685461
03.09.2014,-0.629304298160405,-1.04287441213625
04.09.2014,-0.857278429576325,-1.39160942257556
05.09.2014,-0.451249933420439,-0.717586099755612
08.09.2014,-0.460902395052065,-0.725595456670069
09.09.2014,-0.451807562984041,-0.720310636595973
10.09.2014,-0.40120122455074,-0.638796333428936
11.09.2014,-0.673582649045612,-1.03590487446316
12.09.2014,-0.493804931535202,-0.760791631663218
15.09.2014,-0.42010083405829,-0.644325998478091
16.09.2014,-0.489793361787494,-0.716760070049984
17.09.2014,-0.628211940421242,-0.915589477647955
18.09.2014,-0.289174012069382,-0.414261351539138
19.09.2014,0.0122143706248856,0.0174132532397257
22.09.2014,-0.244500815353133,-0.346218990834277
23.09.2014,-0.134467741916178,-0.199234672155342
24.09.2014,-0.249064980661151,-0.348303073423563
25.09.2014,-0.310275293645013,-0.431001396416811
26.09.2014,-0.688501000225217,-0.94173338441766
29.09.2014,-0.788296576081027,-1.08104553540961
30.09.2014,-1.73683068813857,-2.34127769239926
01.10.2014,-1.71696252798933,-2.36972470349357
02.10.2014,-1.69791766318826,-2.3782259657905
03.10.2014,-1.69728539458419,-2.31635683869237
06.10.2014,-1.42533104076805,-1.83214512163877
07.10.2014,-2.25930380067563,-2.70153968412109
08.10.2014,-2.24954877232543,-2.59232170387423
09.10.2014,-2.14982526383483,-2.47869659457811
10.10.2014,-2.173368210263,-2.52859269490672
