GAZP RX Equity;;;ROSN RX Equity;;;LKOH RX Equity;;;GMKN RX Equity;;;SBER RX Equity;;;SNGS RX Equity;;;MGNT RX Equity;;;VTBR RX Equity;;;TATN RX Equity;;;CHMF RX Equity;;;MTSS RX Equity;;;URKA RX Equity;;;NLMK RX Equity;;;HYDR RX Equity;;;FEES RX Equity;;;PIKK RX Equity;;;AFLT RX Equity;;;PHST RX Equity;;;NVTK RX Equity;;;SIBN RX Equity;
Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST
31.10.2006;281.91;;28.04.2007;223.13;;31.10.2006;2158.45;;28.09.2007;6375.39;;31.10.2006;60.155;;31.10.2006;34.027;;28.04.2007;1223.39;;29.02.2008;0.091;;31.10.2006;123.75;;31.10.2006;308.05;;31.10.2006;201.5;;29.08.2008;206.11;;31.01.2007;64.6;;27.02.2009;0.589;;30.04.2009;0.221;;31.03.2008;569.41;;31.10.2006;60.94;;30.05.2008;1730;;30.11.2006;170;;31.10.2006;110.75
30.11.2006;306.18;;31.05.2007;205.83;;30.11.2006;2340.41;;31.10.2007;7280.46;;30.11.2006;65.43;;30.11.2006;36.22;;31.05.2007;1086.45;;31.03.2008;0.08513;;30.11.2006;128.89;;30.11.2006;281.02;;30.11.2006;217.66;;30.09.2008;155.9;;28.02.2007;69.96;;31.03.2009;0.752;;29.05.2009;0.281;;30.04.2008;673.39;;30.11.2006;59.14;;30.06.2008;1730;;29.12.2006;166.42;;30.11.2006;108.04
29.12.2006;302.56;;29.06.2007;204.7;;29.12.2006;2282.93;;30.11.2007;6944.31;;29.12.2006;92.2;;29.12.2006;40.202;;29.06.2007;1128.57;;30.04.2008;0.0885;;29.12.2006;122.02;;29.12.2006;274.47;;29.12.2006;227.69;;31.10.2008;111.63;;30.03.2007;75.02;;30.04.2009;0.906;;30.06.2009;0.268;;30.05.2008;680;;29.12.2006;57.29;;31.07.2008;1700;;31.01.2007;145.98;;29.12.2006;119.9
31.01.2007;284.54;;31.07.2007;213.36;;31.01.2007;2105.07;;29.12.2007;6466.63;;31.01.2007;87.38;;31.01.2007;31.993;;31.07.2007;1175.11;;30.05.2008;0.0975;;31.01.2007;114.65;;31.01.2007;294.87;;31.01.2007;249.59;;28.11.2008;44.3;;28.04.2007;71.17;;29.05.2009;1.255;;31.07.2009;0.226;;30.06.2008;620.99;;31.01.2007;74.65;;29.08.2008;1600.01;;28.02.2007;141.69;;31.01.2007;117.96
28.02.2007;266.59;;31.08.2007;212.01;;28.02.2007;2072.58;;31.01.2008;5707.34;;28.02.2007;96.705;;28.02.2007;31.01;;31.08.2007;1052.99;;30.06.2008;0.0815;;28.02.2007;115.06;;28.02.2007;314.46;;28.02.2007;236.04;;31.12.2008;53.08;;31.05.2007;69.99;;30.06.2009;1.168;;31.08.2009;0.27;;31.07.2008;536.28;;28.02.2007;71.26;;30.09.2008;1290;;30.03.2007;150.48;;28.02.2007;110.08
30.03.2007;270.87;;28.09.2007;213.46;;30.03.2007;2236.81;;29.02.2008;6966.29;;30.03.2007;92.5;;30.03.2007;32.68;;28.09.2007;1042.32;;31.07.2008;0.08069;;30.03.2007;121.72;;30.03.2007;323.85;;30.03.2007;253.93;;30.01.2009;44.99;;29.06.2007;76.39;;31.07.2009;1.1;;30.09.2009;0.352;;29.08.2008;449;;30.03.2007;73.9;;31.10.2008;687;;28.04.2007;139.1;;30.03.2007;108.44
28.04.2007;257.23;;31.10.2007;216.68;;28.04.2007;2048.72;;31.03.2008;6612.01;;28.04.2007;101.8;;28.04.2007;33.92;;31.10.2007;1155.35;;29.08.2008;0.0675;;28.04.2007;121.8;;28.04.2007;308.33;;28.04.2007;249.83;;27.02.2009;45.95;;31.07.2007;82.19;;31.08.2009;1.1;;30.10.2009;0.312;;30.09.2008;139.5;;28.04.2007;74.24;;28.11.2008;600;;31.05.2007;125.22;;28.04.2007;96.87
31.05.2007;235.57;;30.11.2007;221.28;;31.05.2007;1952.91;;30.04.2008;6404.68;;31.05.2007;91.8;;31.05.2007;28.126;;30.11.2007;1144.48;;30.09.2008;0.0505;;31.05.2007;114.16;;31.05.2007;300.62;;31.05.2007;242.59;;31.03.2009;79.65;;31.08.2007;82.3;;30.09.2009;1.043;;30.11.2009;0.369;;31.10.2008;97.95;;31.05.2007;64.04;;31.12.2008;550.91;;29.06.2007;132.69;;31.05.2007;95.36
29.06.2007;267.43;;29.12.2007;231.1;;29.06.2007;1969.62;;30.05.2008;6981.22;;29.06.2007;100.0199;;29.06.2007;27.879;;29.12.2007;1270.5;;31.10.2008;0.04169;;29.06.2007;117.85;;29.06.2007;324.49;;29.06.2007;253.9;;30.04.2009;79.49;;28.09.2007;85.51;;30.10.2009;1.029;;31.12.2009;0.319;;28.11.2008;46.26;;29.06.2007;73.87;;30.01.2009;470;;31.07.2007;138.94;;29.06.2007;104.47
31.07.2007;275.13;;31.01.2008;171.35;;31.07.2007;2054.52;;30.06.2008;5918.78;;31.07.2007;105.11;;31.07.2007;29.165;;31.01.2008;1141.88;;28.11.2008;0.0315;;31.07.2007;127.38;;31.07.2007;400.68;;31.07.2007;265.3;;29.05.2009;115.93;;31.10.2007;101.32;;30.11.2009;1.131;;29.01.2010;0.342;;31.12.2008;28.01;;31.07.2007;69.87;;27.02.2009;650;;31.08.2007;130.04;;31.07.2007;106.56
31.08.2007;266.08;;29.02.2008;195.74;;31.08.2007;1908.84;;31.07.2008;4941.42;;31.08.2007;97.43;;31.08.2007;32.143;;29.02.2008;1219.63;;31.12.2008;0.03338;;31.08.2007;129.38;;31.08.2007;396.1;;31.08.2007;278.87;;30.06.2009;99.73;;30.11.2007;97.46;;31.12.2009;1.136;;27.02.2010;0.303;;30.01.2009;22.26;;31.08.2007;69.97;;31.03.2009;735;;28.09.2007;131.11;;31.08.2007;96.96
28.09.2007;274.47;;31.03.2008;211.03;;28.09.2007;2079.46;;29.08.2008;4810.39;;28.09.2007;103.48;;28.09.2007;34.076;;31.03.2008;1121.19;;30.01.2009;0.02219;;28.09.2007;139.07;;28.09.2007;470.03;;28.09.2007;287.51;;31.07.2009;115.15;;29.12.2007;99.97;;29.01.2010;1.303;;31.03.2010;0.371;;27.02.2009;22.94;;28.09.2007;77.16;;30.04.2009;943.45;;31.10.2007;140.89;;28.09.2007;104.65
31.10.2007;306.41;;30.04.2008;231.03;;31.10.2007;2233.78;;30.09.2008;3479;;31.10.2007;106.27;;31.10.2007;32.218;;30.04.2008;1038.69;;27.02.2009;0.01963;;31.10.2007;152.47;;31.10.2007;525.59;;31.10.2007;337.64;;31.08.2009;120.26;;31.01.2008;88.11;;27.02.2010;1.28;;30.04.2010;0.366;;31.03.2009;45.2;;31.10.2007;85.37;;29.05.2009;1085.23;;30.11.2007;156.55;;31.10.2007;119.88
30.11.2007;322.66;;30.05.2008;286.43;;30.11.2007;2114.81;;31.10.2008;2651.34;;30.11.2007;103.89;;30.11.2007;28.41;;30.05.2008;1214.65;;31.03.2009;0.02788;;30.11.2007;145.78;;30.11.2007;504.82;;30.11.2007;362.11;;30.09.2009;113.77;;29.02.2008;113.37;;31.03.2010;1.556;;31.05.2010;0.344;;30.04.2009;60.3;;30.11.2007;87.01;;30.06.2009;1070;;29.12.2007;184.42;;30.11.2007;130.57
29.12.2007;342.77;;30.06.2008;272.68;;29.12.2007;2072.43;;28.11.2008;2023.4;;29.12.2007;102.3;;29.12.2007;29.568;;30.06.2008;1106.82;;30.04.2009;0.0315;;29.12.2007;148.49;;29.12.2007;500.63;;29.12.2007;376.5;;30.10.2009;132.11;;31.03.2008;99.78;;30.04.2010;1.687;;30.06.2010;0.343;;29.05.2009;59.39;;29.12.2007;92.91;;31.07.2009;1090;;31.01.2008;159.11;;29.12.2007;151.74
31.01.2008;290.91;;31.07.2008;245.9;;31.01.2008;1661.17;;31.12.2008;1967.07;;31.01.2008;87.98;;31.01.2008;22.808;;31.07.2008;1056.85;;29.05.2009;0.04463;;31.01.2008;118.08;;31.01.2008;458.58;;31.01.2008;309.16;;30.11.2009;132.47;;30.04.2008;111.65;;31.05.2010;1.67;;30.07.2010;0.336;;30.06.2009;41.89;;31.01.2008;90.31;;31.08.2009;1203.45;;29.02.2008;181.91;;31.01.2008;131.06
29.02.2008;305.34;;29.08.2008;209.68;;29.02.2008;1790.99;;30.01.2009;1494.26;;29.02.2008;80.3;;29.02.2008;22.163;;29.08.2008;984.8;;30.06.2009;0.0345;;29.02.2008;150.52;;29.02.2008;560.59;;29.02.2008;309.28;;31.12.2009;125.5;;30.05.2008;116;;30.06.2010;1.523;;31.08.2010;0.351;;31.07.2009;53.69;;29.02.2008;105.77;;30.09.2009;1450;;31.03.2008;187.76;;29.02.2008;147.43
31.03.2008;296.63;;30.09.2008;171.32;;31.03.2008;1992.75;;27.02.2009;1693.64;;31.03.2008;73.29;;31.03.2008;22.078;;30.09.2008;858;;31.07.2009;0.04269;;31.03.2008;152.31;;31.03.2008;472.43;;31.03.2008;300.04;;29.01.2010;130.77;;30.06.2008;132.24;;30.07.2010;1.576;;30.09.2010;0.37;;31.08.2009;57.08;;31.03.2008;99.49;;30.10.2009;1420;;30.04.2008;180.59;;31.03.2008;132.23
30.04.2008;312.55;;31.10.2008;124.54;;30.04.2008;2134.28;;31.03.2009;2064.19;;30.04.2008;77.11;;30.04.2008;23.055;;31.10.2008;407.89;;31.08.2009;0.04319;;30.04.2008;152.06;;30.04.2008;524.52;;30.04.2008;281.81;;27.02.2010;128.33;;31.07.2008;104.3;;31.08.2010;1.585;;29.10.2010;0.371;;30.09.2009;115.24;;30.04.2008;101.82;;30.11.2009;1883.8;;30.05.2008;211.24;;30.04.2008;144.08
30.05.2008;360.13;;28.11.2008;108.84;;30.05.2008;2651.59;;30.04.2009;2786.02;;30.05.2008;85.24;;30.05.2008;28.996;;28.11.2008;369.41;;30.09.2009;0.05538;;30.05.2008;188.98;;30.05.2008;554.3;;30.05.2008;303.89;;31.03.2010;123.4;;29.08.2008;94.87;;30.09.2010;1.567;;30.11.2010;0.365;;30.10.2009;114.47;;30.05.2008;95.72;;31.12.2009;1878.55;;30.06.2008;200.45;;30.05.2008;176.78
30.06.2008;341.1;;31.12.2008;110.29;;30.06.2008;2318.01;;29.05.2009;3481.12;;30.06.2008;74.33;;30.06.2008;25.884;;31.12.2008;475.14;;30.10.2009;0.05788;;30.06.2008;176.93;;30.06.2008;544.62;;30.06.2008;275.03;;30.04.2010;125.92;;30.09.2008;51.01;;29.10.2010;1.585;;30.12.2010;0.367;;30.11.2009;117.99;;30.06.2008;77.96;;29.01.2010;1788.39;;31.07.2008;179.17;;30.06.2008;188.09
